Kata,Bobot
amin,2
apalagi,3
abadi,4
bapak,3
lalai,-2
abaikan,-1
anak baru gede,-1
habis,2
habisan,-2
habisin,-3
adakan,3
anak buah kapal,4
abnormal,-3
abu,1
ada,1
adain,3
adanya,2
adem,5
anak,4
adiknya,4
adikku,4
adik,3
adil,5
adili,5
adilnya,4
adalah,1
aduh,2
aduk,3
advokatnya,4
agak,3
agama,5
agar,1
ahli,3
ahok,2
ajaib,1
ajak,2
ajakin,2
ajar,2
ajari,2
ajarin,2
anjing,-5
akademik,3
akademisi,2
akal,3
akalnya,2
akan,3
akankah,4
akhirat,4
akhirnya,3
akibat,2
aksi,1
aktif,3
akting,3
aktivis,4
aktivitas,5
aktor,3
aku,1
akui,3
akun,3
akunnya,3
akutuh,1
alam,2
alamat,3
alami,3
alasan,1
alasannya,1
alay,1
alesan,3
alhamdulillah,5
alias,4
alih,2
all,3
allah,5
alumi,2
alun,1
aman,5
amanah,5
amankan,3
amat,2
ambil,4
ambisi,3
ambisius,4
amerika,3
amien,-2
ampun,3
anakku,3
anakmu,2
anaknya,3
ananda,3
ancam,-5
ancaman,-5
anda,2
aneh,-1
anggap,4
anggota,2
angin,-5
angkat,-1
angkatan,3
aniaya,-1
anies,-5
anjurkan,5
antar,2
antara,3
anti,1
antonim,1
anxiety,-5
apa,2
apaan,1
apabila,3
apain,1
apakah,1
apapun,2
aparat,4
apasih,2
api,3
aplikasi,2
apreisasi,5
arab,3
arah,2
arahkan,4
arief,1
artinya,3
artis,3
asal,1
asalan,1
asalkan,2
asap,-2
asasi,3
aset,5
asik,3
asli,2
aslinya,3
aspal,-4
astaga,3
astaghfirullah,5
asuuu,-5
atas,2
atasan,1
atau,2
ataupun,3
attitude,3
attitudenya,3
aturan,5
audrey,3
aura,-2
australia,3
auto,3
awal,2
awalnya,3
awas,4
ayah,4
ayam,2
ayo,2
azab,-5

berpraanggapan,4
budi pekerti,5
budi pekertinya,4
babi,-5
babinsa,4
baca,5
bacain,1
badan,4
badannya,2
bagaimana,3
bagi,3
bagian,2
bagus,3
bagusin,5
baguslah,5
bahagia,5
bahan,3
bahar,1
bahas,3
bahasa,2
bahasan,1
bahaya,-2
bahayanya,-3
bahkan,2
bahwa,1
baik,2
baiknya,5
bajingan,-5
baju,3
bajunya,3
bakal,2
bakalan,4
bakar,-2
bakarnya,-2
bakat,5
bakwan,4
balap,-2
balapan,-5
balas,3
balasan,2
balasannya,-2
bales,3
balik,2
balikin,3
balita,4
bambang,2
bambu,4
banayaknya,0
bandel,-3
banding,2
bandit,-3
banget,3
bangga,5
banggaan,5
bangkit,5
bangku,2
bangsa,3
bangsaku,5
bangsat,-5
bangun,3
bangunlah,2
bang,1
bantai,-5
banten,2
banteng,-5
bantu,4
bantuan,4
bantuannya,4
banyak,2
banyakin,1
bapakmu,-1
bapaknya,2
baperan,3
barang,2
barangkali,3
barat,3
barisan,3
baru,2
barusan,3
basah,3
basi,1
basisnya,2
baswedan,-1
batako,2
batam,2
batas,1
batasan,3
batasnya,3
batu,2
bau,-2
bawah,2
bayangkan,2
bayar,1
bayaran,2
bayarin,3
bayi,1
beban,-3
bebas,2
beberapa,4
becanda,4
becandaan,3
beda,1
bedain,3
bedakan,3
bedanya,3
begimana,2
begini,2
beginian,3
beginilah,2
begitu,2
begituin,1
bego,-3
bejek,-5
bekerja,4
bela,3
belagak,2
belagu,-1
belaian,-3
belain,2
belajar,5
belajarlah,5
belaka,3
belakang,3
belakangan,3
belakangan,3
belakangnya,3
belaku,2
belanda,2
belanja,4
belas,5
beli,5
beliau,4
benaran,1
belum,3
benamkan,-1
benar,2
benarkan,2
benarnya,5
bencana,-4
benci,-5
bengkarung,1
bentar,1
bentuk,2
bentukan,3
beo,1
ber,1
berada,1
beradap,-3
beradaptasi,2
beragama,5
berak,-3
berakhir,-1
berakibat,3
beramai,1
berangkat,3
berani,2
beraninya,4
berantaslah,4
berantakan,2
berantem,-3
berapa,2
berarti,3
berasa,4
berasal,3
berat,-1
berati,2
beratnya,3
berbagai,3
berbahaya,-5
berbaju,2
berbalik,3
berbaur,2
berbeban,-1
berbeda,2
berbekas,3
berbenah,3
berbibit,5
berbicara,2
berbuat,4
berbudi,5
bercampur,2
bercanda,2
bercandaan,1
bercerita,3
bercermin,3
berdamai,5
berdampak,4
berdampingan,2
berdeklarasi,4
berdoa,5
berduit,-3
beredar,2
berempati,5
berencana,-2
beres,5
beresiko,-3
beresin,3
berfikir,4
berfokus,4
bergabung,3
bergabunglah,5
bergengsi,-2
bergerak,3
bergerombol,4
bergeser,2
bergulir,2
berguna,5
berhadapan,4
berhak,3
berharap,5
berharga,5
berhasil,5
berhasilnya,5
berhenti,-2
berhentikan,-4
beri,2
beribadah,5
berikan,2
berikanlah,2
berikut,2
berikutnya,3
berilmu,5
berintegritas,5
berita,4
beritakan,3
beritanya,3
berjalan,2
berjamaah,4
berjanji,4
berjilid,3
berjuang,5
berjudul,2
berkaca,2
berkali,1
berkampanye,2
berkarakter,4
berkata,2
berkawan,5
berkelakuan,3
berkelas,3
berkembang,3
biak,1
berkenan,3
berkepanjangan,2
berkoalisi,1
berkomentar,2
berkualitas,5
berkuasa,-3
berkumpul,2
berkurang,1
berlaga,2
berlaku,4
berlanjut,4
berlapis,3
berlebihan,-2
berlelah,1
berlindung,3
berlomba,4
bermain,4
bermasalah,-2
bermasyarakat,5
bermaterai,2
bermental,-1
bermoral,5
bermusuhan,-4
bernama,2
berniat,2
bernilai,5
ber,1
orasi,5
berpakaian,4
berpendidikan,5
berpangkat,3
berperilaku,3
berpihak,3
berpisah,1
berpikir,4
berpindah,2
berpolitik,-2
berpotensi,3
berprestasi,5
berhasilkan,2
bersabarlah,2
bersahabat,4
bersalah,-3
bersama,4
berseberangan,2
bersedia,5
bersekolah,5
bersembunyi,2
bersihkan,-1
bersikap,2
bersilang,2
bersosialisasi,4
bersuara,3
bersyukur,5
bertahan,3
bertahun,2
bertambah,2
bertanggung,3
bertaraf,3
berteman,4
bertindak,5
bertindaknya,5
berubah,3
berubahnya,3
berulah,-1
berulang,2
berumur,3
berupa,3
berusaha,5
berusia,1
berwajib,3
berwenang,2
besar,1
besarnya,2
beserta,2
besi,3
besok,4
best,5
bestie,1
beta,2
betina,-2
betingkah,3
betul,5
bhabinkamtibmas,3
bohongan,-5
biadab,-5
biar,2
biarin,2
biarkan,2
biarlah,2
biarpun,2
biasa,3
bablas,-1
biasakan,2
biasalah,1
biasanya,2
biaya,3
biayain,4
bibit,5
bicara,1
bicarain,-1
bidang,2
big,1
bijak,2
biji,-1
bikin,2
bila,2
bilang,3
bilangin,3
bilangnya,3
bimbang,4
bimbing,4
bimbingan,5
binasa,-5
binatang,-2
bingung,2
bintang,3
tamu,3
binus,2
biru,2
birut,1
bisa,2
bisanya,3
bismillah,5
bisnis,3
black,-1
blacklist,-3

blan,0
blangsung,0
blassini,0
blbi,0
bleed,-5
bless,5
blg,0
bljr,0
blm,0
blmkabarin,0
bln,0
blng,0
blok,0
blokjgn,0
blokkk,0
blom,0
blood,0
blow,-5
blum,0
blunder,-5
blur,-5
blurr,0
bmbaru,0
bner,0
bnerr,0
bnget,0
bngt,0
bngtt,0
bnr,0
bnrn,0
bntr,0
bny,0
bnya,0
bnyak,0
bnyk,0
bnyka,0
bnykann,0
bobfkar,0
bobok,0
bobot,0
bobrok,0
bocah,0
bocahh,0
bocahnya,0
bocil,3
bocillll,0
bocilnya,0
bodat,0
bodo,0
bodoh,0
bodohjangan,0
body,0
bogem,0
bohir,0
bohong,0
boikot,0
bokap,0
bokapnya,0
bokbrok,0
bokeh,0
bola,0
bolak,0
