Komentar,cleaning,Case_Folding,Tokenization,Hashed_Text,Normalisasi,Stopwords,Steaming,text_clean
calon preman.,calon preman,calon preman,"['calon', 'preman']",2d3882055ce362457d14ff28b9bb4863,"['calon', 'preman']","['calon', 'preman']","['calon', 'preman']",calon preman
"Kekerasan tetap tdk boleh di lakukan,,",Kekerasan tetap tdk boleh di lakukan,kekerasan tetap tdk boleh di lakukan,"['kekerasan', 'tetap', 'tdk', 'boleh', 'di', 'lakukan']",ab8169c8fcd8126648f478bcef4fcb6c,"['kekerasan', 'tetap', 'tidak', 'boleh', 'di', 'lakukan']","['kekerasan', 'tetap', 'lakukan']","['keras', 'tetap', 'laku']",keras tetap laku
Hebat sekali kau nak👏,Hebat sekali kau nak,hebat sekali kau nak,"['hebat', 'sekali', 'kau', 'nak']",892dbfe25bce56962ebeffeba5ad7525,"['hebat', 'sekali', 'kau', 'nak']","['hebat', 'kau', 'nak']","['hebat', 'kau', 'nak']",hebat kau nak
"Tersangka anak di bawah umur, korban juga anak di bawah umur, semoga pasal tentang perlindungan anak Tidak berlaku kepada tersangka nya 👏👏 karena ujung"" nya damai secara kekeluargaan 😢😢",Tersangka anak di bawah umur korban juga anak di bawah umur semoga pasal tentang perlindungan anak Tidak berlaku kepada tersangka nya karena ujung nya damai secara kekeluargaan,tersangka anak di bawah umur korban juga anak di bawah umur semoga pasal tentang perlindungan anak tidak berlaku kepada tersangka nya karena ujung nya damai secara kekeluargaan,"['tersangka', 'anak', 'di', 'bawah', 'umur', 'korban', 'juga', 'anak', 'di', 'bawah', 'umur', 'semoga', 'pasal', 'tentang', 'perlindungan', 'anak', 'tidak', 'berlaku', 'kepada', 'tersangka', 'nya', 'karena', 'ujung', 'nya', 'damai', 'secara', 'kekeluargaan']",ef096826b1f4f9f71cb68b72d7f2cffb,"['tersangka', 'anak', 'di', 'bawah', 'umur', 'korban', 'juga', 'anak', 'di', 'bawah', 'umur', 'semoga', 'pasal', 'tentang', 'perlindungan', 'anak', 'tidak', 'berlaku', 'kepada', 'tersangka', 'nya', 'karena', 'ujung', 'nya', 'damai', 'secara', 'kekeluargaan']","['tersangka', 'anak', 'umur', 'korban', 'anak', 'umur', 'semoga', 'pasal', 'perlindungan', 'anak', 'berlaku', 'tersangka', 'ujung', 'damai', 'kekeluargaan']","['sangka', 'anak', 'umur', 'korban', 'anak', 'umur', 'moga', 'pasal', 'lindung', 'anak', 'laku', 'sangka', 'ujung', 'damai', 'keluarga']",sangka anak umur korban anak umur moga pasal lindung anak laku sangka ujung damai keluarga
"Berprestasi? Kok kmren ada yg bilang nakal suka pindah2 sekolah,,yg bener yg mana",Berprestasi Kok kmren ada yg bilang nakal suka pindah sekolah yg bener yg mana,berprestasi kok kmren ada yg bilang nakal suka pindah sekolah yg bener yg mana,"['berprestasi', 'kok', 'kmren', 'ada', 'yg', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'yg', 'bener', 'yg', 'mana']",43eebb4189b3a429cae6ffb38f8e04a1,"['berprestasi', 'kok', 'kmren', 'ada', 'yang', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'yang', 'benar', 'yang', 'mana']","['berprestasi', 'kmren', 'ada', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah']","['prestasi', 'kmren', 'ada', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah']",prestasi kmren ada bilang nakal suka pindah sekolah
Keluar dari penjara/lolos dari masa tahanan. Malah jadi bangga . Dan menjadi jadi. Masih muda dan ditakuti🔥,Keluar dari penjara lolos dari masa tahanan Malah jadi bangga Dan menjadi jadi Masih muda dan ditakuti,keluar dari penjara lolos dari masa tahanan malah jadi bangga dan menjadi jadi masih muda dan ditakuti,"['keluar', 'dari', 'penjara', 'lolos', 'dari', 'masa', 'tahanan', 'malah', 'jadi', 'bangga', 'dan', 'menjadi', 'jadi', 'masih', 'muda', 'dan', 'ditakuti']",a4abe76716666930acb8367c70d54eed,"['keluar', 'dari', 'penjara', 'lolos', 'dari', 'masa', 'tahanan', 'malah', 'jadi', 'bangga', 'dan', 'menjadi', 'jadi', 'masih', 'muda', 'dan', 'ditakuti']","['penjara', 'lolos', 'tahanan', 'bangga', 'muda', 'ditakuti']","['penjara', 'lolos', 'tahan', 'bangga', 'muda', 'takut']",penjara lolos tahan bangga muda takut
"Maksud dari ""jika terbukti""????",Maksud dari jika terbukti,maksud dari jika terbukti,"['maksud', 'dari', 'jika', 'terbukti']",1af6a7a9406f0ee69390c7d8cb3a0cc8,"['maksud', 'dari', 'jika', 'terbukti']","['maksud', 'terbukti']","['maksud', 'bukti']",maksud bukti
Gak usah cari2 perkara terhadap korban...yg jelas apapun alasanya itu perundungam bullying,Gak usah cari perkara terhadap korban yg jelas apapun alasanya itu perundungam bullying,gak usah cari perkara terhadap korban yg jelas apapun alasanya itu perundungam bullying,"['gak', 'usah', 'cari', 'perkara', 'terhadap', 'korban', 'yg', 'jelas', 'apapun', 'alasanya', 'itu', 'perundungam', 'bullying']",fae9db5e77e41a08e59b4f53ac8d01ad,"['enggak', 'usah', 'cari', 'perkara', 'terhadap', 'korban', 'yang', 'jelas', 'apapun', 'alasanya', 'itu', 'perundungam', 'bullying']","['cari', 'perkara', 'korban', 'apapun', 'alasanya', 'perundungam', 'bullying']","['cari', 'perkara', 'korban', 'apa', 'alasanya', 'perundungam', 'bullying']",cari perkara korban apa alasanya perundungam bullying
Pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis. Hrs di shock therapi biar tdk sok jago akhirnya ada korban lg. Masukin sel dewasa aja biar diremuk di dlm sel,Pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis Hrs di shock therapi biar tdk sok jago akhirnya ada korban lg Masukin sel dewasa aja biar diremuk di dlm sel,pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis hrs di shock therapi biar tdk sok jago akhirnya ada korban lg masukin sel dewasa aja biar diremuk di dlm sel,"['pelaku', 'itu', 'jgn', 'dikenain', 'hukum', 'anak', 'sebab', 'kelakuan', 'udh', 'spt', 'iblis', 'hrs', 'di', 'shock', 'therapi', 'biar', 'tdk', 'sok', 'jago', 'akhirnya', 'ada', 'korban', 'lg', 'masukin', 'sel', 'dewasa', 'aja', 'biar', 'diremuk', 'di', 'dlm', 'sel']",2d29bb1da8b5843578e0df0b948aa6ca,"['pelaku', 'itu', 'jangan', 'dikenain', 'hukum', 'anak', 'sebab', 'kelakuan', 'udah', 'seperti', 'iblis', 'harus', 'di', 'shock', 'therapi', 'biar', 'tidak', 'sok', 'jago', 'akhirnya', 'ada', 'korban', 'lagi', 'masukin', 'sel', 'dewasa', 'saja', 'biar', 'diremuk', 'di', 'dalam', 'sel']","['pelaku', 'dikenain', 'hukum', 'anak', 'kelakuan', 'udah', 'iblis', 'shock', 'therapi', 'biar', 'sok', 'jago', 'ada', 'korban', 'masukin', 'sel', 'dewasa', 'biar', 'diremuk', 'sel']","['laku', 'dikenain', 'hukum', 'anak', 'laku', 'udah', 'iblis', 'shock', 'therapi', 'biar', 'sok', 'jago', 'ada', 'korban', 'masukin', 'sel', 'dewasa', 'biar', 'remuk', 'sel']",laku dikenain hukum anak laku udah iblis shock therapi biar sok jago ada korban masukin sel dewasa biar remuk sel
"G usah mikir d bawah umur kalo perilakunya membahayakan orang lain hrs tetap d proses hukum ,, good lah polres cilacp",usah mikir bawah umur kalo perilakunya membahayakan orang lain hrs tetap proses hukum good lah polres cilacp,usah mikir bawah umur kalo perilakunya membahayakan orang lain hrs tetap proses hukum good lah polres cilacp,"['usah', 'mikir', 'bawah', 'umur', 'kalo', 'perilakunya', 'membahayakan', 'orang', 'lain', 'hrs', 'tetap', 'proses', 'hukum', 'good', 'lah', 'polres', 'cilacp']",746100751959c4740a891dd70953a888,"['usah', 'mikir', 'bawah', 'umur', 'kalau', 'perilakunya', 'membahayakan', 'orang', 'lain', 'harus', 'tetap', 'proses', 'hukum', 'good', 'lah', 'polres', 'cilacp']","['mikir', 'umur', 'perilakunya', 'membahayakan', 'orang', 'tetap', 'proses', 'hukum', 'good', 'polres', 'cilacp']","['mikir', 'umur', 'perilaku', 'bahaya', 'orang', 'tetap', 'proses', 'hukum', 'good', 'polres', 'cilacp']",mikir umur perilaku bahaya orang tetap proses hukum good polres cilacp
