classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
buruk [Negative (5.0)] ngebleb, buruk ngebleb,['buruk [Negative (5.0)] ngebleb'],-5.0,Negative,buruk ngebleb
kurung [Negative (3.0)] aja [Positive (1.0)] ayam lepas [Negative (2.0)] sekolah [Positive (3.0)] ya [Positive (5.0)] gitu rusuh [Negative (4.0)], kurung aja ayam lepas sekolah ya gitu rusuh,['kurung [Negative (3.0)] aja [Positive (1.0)] ayam lepas [Negative (2.0)] sekolah [Positive (3.0)] ya [Positive (5.0)] gitu rusuh [Negative (4.0)]'],5.0,Positive,kurung aja ayam lepas sekolah ya gitu rusuh
etika, etika,['etika'],0.0,Neutral,etika
sensor lho malu [Negative (4.0)] ngebully tmn nya, sensor lho malu ngebully tmn nya,['sensor lho malu [Negative (4.0)] ngebully tmn nya'],-4.0,Negative,sensor lho malu ngebully tmn nya
abisin aja [Positive (1.0)] laku hukum [Negative (3.0)] serius [Negative (6.0)] biar [Negative (4.0)] sakit [Negative (6.0)] masyarakat, abisin aja laku hukum serius biar sakit masyarakat,['abisin aja [Positive (1.0)] laku hukum [Negative (3.0)] serius [Negative (6.0)] biar [Negative (4.0)] sakit [Negative (6.0)] masyarakat'],-5.0,Negative,abisin aja laku hukum serius biar sakit masyarakat
mandang umur [Negative (2.0)] salah [Negative (5.0)] ya [Positive (4.0)] kasih [Negative (1.0)] hukum [Negative (4.0)] coba [Negative (1.0)] pikir [Negative (2.0)] gimana asa [Negative (2.0)] anak [Negative (4.0)] keluarga [Negative (4.0)] kenal [Negative (2.0)] aja [Positive (1.0)] kesal [Negative (5.0)] keluarga [Negative (4.0)] gimana anak [Negative (3.0)] trauma [Negative (6.0)] macem [Negative (2.0)], mandang umur salah ya kasih hukum coba pikir gimana asa anak keluarga kenal aja kesal keluarga gimana anak trauma macem,['mandang umur [Negative (2.0)] salah [Negative (5.0)] ya [Positive (4.0)] kasih [Negative (1.0)] hukum [Negative (4.0)] coba [Negative (1.0)] pikir [Negative (2.0)] gimana asa [Negative (2.0)] anak [Negative (4.0)] keluarga [Negative (4.0)] kenal [Negative (2.0)] aja [Positive (1.0)] kesal [Negative (5.0)] keluarga [Negative (4.0)] gimana anak [Negative (3.0)] trauma [Negative (6.0)] macem [Negative (2.0)]'],-2.0,Negative,mandang umur salah ya kasih hukum coba pikir gimana asa anak keluarga kenal aja kesal keluarga gimana anak trauma macem
dak jaman [Negative (2.0)] damai urus ingatt gimana perempuantu keluarga [Negative (3.0)], dak jaman damai urus ingatt gimana perempuantu keluarga,['dak jaman [Negative (2.0)] damai urus ingatt gimana perempuantu keluarga [Negative (3.0)]'],-3.0,Negative,dak jaman damai urus ingatt gimana perempuantu keluarga
kasih [Negative (1.0)] ampunn laknatt budak [Positive (4.0)] lanangtu betino disikso gitu, kasih ampunn laknatt budak lanangtu betino disikso gitu,['kasih [Negative (1.0)] ampunn laknatt budak [Positive (4.0)] lanangtu betino disikso gitu'],4.0,Positive,kasih ampunn laknatt budak lanangtu betino disikso gitu
sokor keno tangkep nang [Negative (5.0)], sokor keno tangkep nang,['sokor keno tangkep nang [Negative (5.0)]'],-5.0,Negative,sokor keno tangkep nang
bagus [Negative (4.0)] siswa [Positive (3.0)] keluar [Negative (3.0)] aja [Positive (1.0)] sekolah [Positive (4.0)], bagus siswa keluar aja sekolah,['bagus [Negative (4.0)] siswa [Positive (3.0)] keluar [Negative (3.0)] aja [Positive (1.0)] sekolah [Positive (4.0)]'],4.0,Positive,bagus siswa keluar aja sekolah
ceweitu adek [Negative (1.0)] auto mati [Negative (5.0)] tu ngebully, ceweitu adek auto mati tu ngebully,['ceweitu adek [Negative (1.0)] auto mati [Negative (5.0)] tu ngebully'],-5.0,Negative,ceweitu adek auto mati tu ngebully
buang [Negative (3.0)] aja [Positive (1.0)] laut, buang aja laut,['buang [Negative (3.0)] aja [Positive (1.0)] laut'],-3.0,Negative,buang aja laut
terbitkelah pulo uu bullying tempelke sekolah [Positive (3.0)] pilih [Negative (2.0)] polisi, terbitkelah pulo uu bullying tempelke sekolah pilih polisi,['terbitkelah pulo uu bullying tempelke sekolah [Positive (3.0)] pilih [Negative (2.0)] polisi'],3.0,Positive,terbitkelah pulo uu bullying tempelke sekolah pilih polisi
