classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
emang bener [Negative (1.0)] sekolah [Positive (3.0)] al azhar, emang bener sekolah al azhar,['emang bener [Negative (1.0)] sekolah [Positive (3.0)] al azhar'],3.0,Positive,emang bener sekolah al azhar
udah bener [Negative (1.0)] sekolah [Positive (3.0)] paket [Positive (5.0)], udah bener sekolah paket,['udah bener [Negative (1.0)] sekolah [Positive (3.0)] paket [Positive (5.0)]'],5.0,Positive,udah bener sekolah paket
sorot anak [Negative (3.0)] arief suditomo ex [Negative (1.0)] news anchor, sorot anak arief suditomo ex news anchor,['sorot anak [Negative (3.0)] arief suditomo ex [Negative (1.0)] news anchor'],0.0,Neutral,sorot anak arief suditomo ex news anchor
video, video,['video'],0.0,Neutral,video
spil instagram anak [Negative (3.0)], spil instagram anak,['spil instagram anak [Negative (3.0)]'],-3.0,Negative,spil instagram anak
kabar [Negative (3.0)] anak [Negative (4.0)] dprd ya [Positive (4.0)] inti sih kuliah [Negative (2.0)] bus anak [Negative (3.0)] orang kaya [Negative (2.0)] orang pandang [Positive (1.0)], kabar anak dprd ya inti sih kuliah bus anak orang kaya orang pandang,['kabar [Negative (3.0)] anak [Negative (4.0)] dprd ya [Positive (4.0)] inti sih kuliah [Negative (2.0)] bus anak [Negative (3.0)] orang kaya [Negative (2.0)] orang pandang [Positive (1.0)]'],-2.0,Negative,kabar anak dprd ya inti sih kuliah bus anak orang kaya orang pandang
nggak [Positive (1.0)] bayang [Positive (2.0)] gimana ngamuknya vincent anak [Negative (3.0)], nggak bayang gimana ngamuknya vincent anak,['nggak [Positive (1.0)] bayang [Positive (2.0)] gimana ngamuknya vincent anak [Negative (3.0)]'],-3.0,Negative,nggak bayang gimana ngamuknya vincent anak
vincent anak [Negative (3.0)] aja [Positive (1.0)] berita [Negative (2.0)], vincent anak aja berita,['vincent anak [Negative (3.0)] aja [Positive (1.0)] berita [Negative (2.0)]'],-2.0,Negative,vincent anak aja berita
sekolah [Positive (3.0)] nya bus laku murid [Positive (3.0)] nya minus [Negative (3.0)], sekolah nya bus laku murid nya minus,['sekolah [Positive (3.0)] nya bus laku murid [Positive (3.0)] nya minus [Negative (3.0)]'],0.0,Neutral,sekolah nya bus laku murid nya minus
spill nama laku admin, spill nama laku admin,['spill nama laku admin'],0.0,Neutral,spill nama laku admin
duga [Negative (1.0)] lahh anjir [Negative (5.0)] wkwkkw, duga lahh anjir wkwkkw,['duga [Negative (1.0)] lahh anjir [Negative (5.0)] wkwkkw'],-5.0,Negative,duga lahh anjir wkwkkw
straight edge si doy, straight edge si doy,['straight edge si doy'],0.0,Neutral,straight edge si doy
sorot vincent nutupin nama bokap, sorot vincent nutupin nama bokap,['sorot vincent nutupin nama bokap'],0.0,Neutral,sorot vincent nutupin nama bokap
spill asik [Positive (4.0)] ah, spill asik ah,['spill asik [Positive (4.0)] ah'],4.0,Positive,spill asik ah
emang bener [Negative (1.0)] sekolah [Positive (3.0)] al azhar, emang bener sekolah al azhar,['emang bener [Negative (1.0)] sekolah [Positive (3.0)] al azhar'],3.0,Positive,emang bener sekolah al azhar
udah bener [Negative (1.0)] sekolah [Positive (3.0)] paket [Positive (5.0)], udah bener sekolah paket,['udah bener [Negative (1.0)] sekolah [Positive (3.0)] paket [Positive (5.0)]'],5.0,Positive,udah bener sekolah paket
sorot anak [Negative (3.0)] arief suditomo ex [Negative (1.0)] news anchor, sorot anak arief suditomo ex news anchor,['sorot anak [Negative (3.0)] arief suditomo ex [Negative (1.0)] news anchor'],0.0,Neutral,sorot anak arief suditomo ex news anchor
video, video,['video'],0.0,Neutral,video
spil instagram anak [Negative (3.0)], spil instagram anak,['spil instagram anak [Negative (3.0)]'],-3.0,Negative,spil instagram anak
kabar [Negative (3.0)] anak [Negative (4.0)] dprd ya [Positive (4.0)] inti sih kuliah [Negative (2.0)] bus anak [Negative (3.0)] orang kaya [Negative (2.0)] orang pandang [Positive (1.0)], kabar anak dprd ya inti sih kuliah bus anak orang kaya orang pandang,['kabar [Negative (3.0)] anak [Negative (4.0)] dprd ya [Positive (4.0)] inti sih kuliah [Negative (2.0)] bus anak [Negative (3.0)] orang kaya [Negative (2.0)] orang pandang [Positive (1.0)]'],-2.0,Negative,kabar anak dprd ya inti sih kuliah bus anak orang kaya orang pandang
nggak [Positive (1.0)] bayang [Positive (2.0)] gimana ngamuknya vincent anak [Negative (3.0)], nggak bayang gimana ngamuknya vincent anak,['nggak [Positive (1.0)] bayang [Positive (2.0)] gimana ngamuknya vincent anak [Negative (3.0)]'],-3.0,Negative,nggak bayang gimana ngamuknya vincent anak
spill nama laku admin, spill nama laku admin,['spill nama laku admin'],0.0,Neutral,spill nama laku admin
vincent anak [Negative (3.0)] aja [Positive (1.0)] berita [Negative (2.0)], vincent anak aja berita,['vincent anak [Negative (3.0)] aja [Positive (1.0)] berita [Negative (2.0)]'],-2.0,Negative,vincent anak aja berita
sekolah [Positive (3.0)] nya bus laku murid [Positive (3.0)] nya minus [Negative (3.0)], sekolah nya bus laku murid nya minus,['sekolah [Positive (3.0)] nya bus laku murid [Positive (3.0)] nya minus [Negative (3.0)]'],0.0,Neutral,sekolah nya bus laku murid nya minus
sorot vincent nutupin nama bokap, sorot vincent nutupin nama bokap,['sorot vincent nutupin nama bokap'],0.0,Neutral,sorot vincent nutupin nama bokap
abis [Negative (2.0)] tampolin bang vincent si ni, abis tampolin bang vincent si ni,['abis [Negative (2.0)] tampolin bang vincent si ni'],-2.0,Negative,abis tampolin bang vincent si ni
bener [Negative (1.0)] sekolah [Positive (3.0)] sekolah [Positive (4.0)] mahal [Positive (1.0)] mahal [Positive (1.0)] krna sekolah [Positive (3.0)] mahal [Positive (1.0)] isi [Negative (5.0)] banyak [Negative (4.0)] anak [Negative (4.0)] songong, bener sekolah sekolah mahal mahal krna sekolah mahal isi banyak anak songong,['bener [Negative (1.0)] sekolah [Positive (3.0)] sekolah [Positive (4.0)] mahal [Positive (1.0)] mahal [Positive (1.0)] krna sekolah [Positive (3.0)] mahal [Positive (1.0)] isi [Negative (5.0)] banyak [Negative (4.0)] anak [Negative (4.0)] songong'],-4.0,Negative,bener sekolah sekolah mahal mahal krna sekolah mahal isi banyak anak songong
straight edge si doy, straight edge si doy,['straight edge si doy'],0.0,Neutral,straight edge si doy
spill asik [Positive (4.0)] ah, spill asik ah,['spill asik [Positive (4.0)] ah'],4.0,Positive,spill asik ah
berita [Negative (2.0)] ya [Positive (4.0)] foto [Positive (4.0)] bapak pajang, berita ya foto bapak pajang,['berita [Negative (2.0)] ya [Positive (4.0)] foto [Positive (4.0)] bapak pajang'],4.0,Positive,berita ya foto bapak pajang
anak [Negative (3.0)] vincent aja [Positive (1.0)] goreng [Negative (2.0)] asa [Negative (2.0)] bully [Negative (6.0)] banyakn deh, anak vincent aja goreng asa bully banyakn deh,['anak [Negative (3.0)] vincent aja [Positive (1.0)] goreng [Negative (2.0)] asa [Negative (2.0)] bully [Negative (6.0)] banyakn deh'],-5.0,Negative,anak vincent aja goreng asa bully banyakn deh
duga [Negative (1.0)] lahh anjir [Negative (5.0)] wkwkkw, duga lahh anjir wkwkkw,['duga [Negative (1.0)] lahh anjir [Negative (5.0)] wkwkkw'],-5.0,Negative,duga lahh anjir wkwkkw
gila [Negative (5.0)] mati [Negative (6.0)] mati [Negative (6.0)] bain [Negative (2.0)] vincent wkwk ngakak [Negative (2.0)], gila mati mati bain vincent wkwk ngakak,['gila [Negative (5.0)] mati [Negative (6.0)] mati [Negative (6.0)] bain [Negative (2.0)] vincent wkwk ngakak [Negative (2.0)]'],-2.0,Negative,gila mati mati bain vincent wkwk ngakak
nama geng goreng [Negative (2.0)] anak [Negative (4.0)] vincent doang [Negative (1.0)] laku, nama geng goreng anak vincent doang laku,['nama geng goreng [Negative (2.0)] anak [Negative (4.0)] vincent doang [Negative (1.0)] laku'],0.0,Neutral,nama geng goreng anak vincent doang laku
