classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
semenjak hamil [Negative (5.0)] sensitif [Positive (1.0)] manusia [Positive (4.0)] liat [Negative (1.0)] anak [Negative (4.0)] anak [Negative (4.0)] hamil [Negative (6.0)] susah [Negative (4.0)] payah coba [Negative (1.0)] kasih [Negative (1.0)] baik [Negative (1.0)] kasih [Negative (1.0)] sayang [Negative (4.0)] anak [Negative (4.0)] kantung rahim [Positive (2.0)] janin bayi [Negative (3.0)] anak [Negative (4.0)] tumbuh manusia [Positive (3.0)] dewasa [Positive (2.0)] bayang [Positive (2.0)] ngga sih sekesel benci [Negative (5.0)] anak [Negative (4.0)] udah rawat [Negative (3.0)] janin main [Negative (2.0)] laku orang tendang [Negative (3.0)] kayak [Negative (4.0)] gitu orangtua korban [Negative (4.0)] aselii laku ngga biarin [Negative (3.0)] hidup [Positive (2.0)] tenang [Negative (1.0)] dunia [Negative (2.0)] akhirat naudzubillahiminzalik, semenjak hamil sensitif manusia liat anak anak hamil susah payah coba kasih baik kasih sayang anak kantung rahim janin bayi anak tumbuh manusia dewasa bayang ngga sih sekesel benci anak udah rawat janin main laku orang tendang kayak gitu orangtua korban aselii laku ngga biarin hidup tenang dunia akhirat naudzubillahiminzalik,['semenjak hamil [Negative (5.0)] sensitif [Positive (1.0)] manusia [Positive (4.0)] liat [Negative (1.0)] anak [Negative (4.0)] anak [Negative (4.0)] hamil [Negative (6.0)] susah [Negative (4.0)] payah coba [Negative (1.0)] kasih [Negative (1.0)] baik [Negative (1.0)] kasih [Negative (1.0)] sayang [Negative (4.0)] anak [Negative (4.0)] kantung rahim [Positive (2.0)] janin bayi [Negative (3.0)] anak [Negative (4.0)] tumbuh manusia [Positive (3.0)] dewasa [Positive (2.0)] bayang [Positive (2.0)] ngga sih sekesel benci [Negative (5.0)] anak [Negative (4.0)] udah rawat [Negative (3.0)] janin main [Negative (2.0)] laku orang tendang [Negative (3.0)] kayak [Negative (4.0)] gitu orangtua korban [Negative (4.0)] aselii laku ngga biarin [Negative (3.0)] hidup [Positive (2.0)] tenang [Negative (1.0)] dunia [Negative (2.0)] akhirat naudzubillahiminzalik'],0.0,Neutral,semenjak hamil sensitif manusia liat anak anak hamil susah payah coba kasih baik kasih sayang anak kantung rahim janin bayi anak tumbuh manusia dewasa bayang ngga sih sekesel benci anak udah rawat janin main laku orang tendang kayak gitu orangtua korban aselii laku ngga biarin hidup tenang dunia akhirat naudzubillahiminzalik
sampe anak [Negative (3.0)] diginiin [Negative (4.0)] udah ajak [Positive (1.0)] gelutt bocil ortunya didik [Negative (3.0)] anak [Negative (4.0)] sampe morall ginii sekolah [Positive (3.0)] blacklist bocilnya masukin penjara [Negative (4.0)] biar [Negative (4.0)] tau [Negative (5.0)] didik [Negative (4.0)] tuhh dalem [Negative (2.0)] suruh [Negative (2.0)] ngasi ajar [Negative (3.0)] setimpall, sampe anak diginiin udah ajak gelutt bocil ortunya didik anak sampe morall ginii sekolah blacklist bocilnya masukin penjara biar tau didik tuhh dalem suruh ngasi ajar setimpall,['sampe anak [Negative (3.0)] diginiin [Negative (4.0)] udah ajak [Positive (1.0)] gelutt bocil ortunya didik [Negative (3.0)] anak [Negative (4.0)] sampe morall ginii sekolah [Positive (3.0)] blacklist bocilnya masukin penjara [Negative (4.0)] biar [Negative (4.0)] tau [Negative (5.0)] didik [Negative (4.0)] tuhh dalem [Negative (2.0)] suruh [Negative (2.0)] ngasi ajar [Negative (3.0)] setimpall'],0.0,Neutral,sampe anak diginiin udah ajak gelutt bocil ortunya didik anak sampe morall ginii sekolah blacklist bocilnya masukin penjara biar tau didik tuhh dalem suruh ngasi ajar setimpall
sikap [Positive (2.0)] kaya [Negative (2.0)] gitu sih selesai [Negative (4.0)] nya keras tindak rundung [Negative (4.0)] sampe bawa [Negative (3.0)] teman biar [Negative (3.0)] rundung [Negative (5.0)] korban [Negative (5.0)] video, sikap kaya gitu sih selesai nya keras tindak rundung sampe bawa teman biar rundung korban video,['sikap [Positive (2.0)] kaya [Negative (2.0)] gitu sih selesai [Negative (4.0)] nya keras tindak rundung [Negative (4.0)] sampe bawa [Negative (3.0)] teman biar [Negative (3.0)] rundung [Negative (5.0)] korban [Negative (5.0)] video'],-5.0,Negative,sikap kaya gitu sih selesai nya keras tindak rundung sampe bawa teman biar rundung korban video
mao tau [Negative (4.0)] nama sekolah [Positive (3.0)], mao tau nama sekolah,['mao tau [Negative (4.0)] nama sekolah [Positive (3.0)]'],-4.0,Negative,mao tau nama sekolah
ketangkep nang [Negative (5.0)], ketangkep nang,['ketangkep nang [Negative (5.0)]'],-5.0,Negative,ketangkep nang
miris [Negative (4.0)] ya [Positive (4.0)] allah [Positive (6.0)] salah [Negative (4.0)] bulian korban [Negative (4.0)] saksi [Positive (1.0)] lapor [Positive (2.0)] mari [Negative (1.0)] suara [Negative (1.0)] mmg korban [Negative (4.0)] saksi [Positive (1.0)] bulian tinggal [Negative (3.0)] diam [Negative (4.0)] dampak [Negative (4.0)] negatif bulian sederhana [Negative (5.0)] dampak [Negative (4.0)] negatif stop [Negative (3.0)] bullying, miris ya allah salah bulian korban saksi lapor mari suara mmg korban saksi bulian tinggal diam dampak negatif bulian sederhana dampak negatif stop bullying,['miris [Negative (4.0)] ya [Positive (4.0)] allah [Positive (6.0)] salah [Negative (4.0)] bulian korban [Negative (4.0)] saksi [Positive (1.0)] lapor [Positive (2.0)] mari [Negative (1.0)] suara [Negative (1.0)] mmg korban [Negative (4.0)] saksi [Positive (1.0)] bulian tinggal [Negative (3.0)] diam [Negative (4.0)] dampak [Negative (4.0)] negatif bulian sederhana [Negative (5.0)] dampak [Negative (4.0)] negatif stop [Negative (3.0)] bullying'],-3.0,Negative,miris ya allah salah bulian korban saksi lapor mari suara mmg korban saksi bulian tinggal diam dampak negatif bulian sederhana dampak negatif stop bullying
biar [Negative (3.0)] lepas [Negative (2.0)] jerat hukum [Negative (3.0)] hrus tindak brandalan nya bahaya [Negative (5.0)] nyawa orang bentur [Positive (1.0)] usia kanak bikin atas [Negative (4.0)] anginmere, biar lepas jerat hukum hrus tindak brandalan nya bahaya nyawa orang bentur usia kanak bikin atas anginmere,['biar [Negative (3.0)] lepas [Negative (2.0)] jerat hukum [Negative (3.0)] hrus tindak brandalan nya bahaya [Negative (5.0)] nyawa orang bentur [Positive (1.0)] usia kanak bikin atas [Negative (4.0)] anginmere'],-4.0,Negative,biar lepas jerat hukum hrus tindak brandalan nya bahaya nyawa orang bentur usia kanak bikin atas anginmere
ya [Positive (4.0)] atur [Negative (4.0)] anak [Negative (4.0)] lawan [Negative (5.0)] hukum [Negative (5.0)] banget [Positive (1.0)] liat [Negative (2.0)] vidio jahat [Negative (4.0)] seprti anak [Negative (3.0)] orang miris [Negative (4.0)], ya atur anak lawan hukum banget liat vidio jahat seprti anak orang miris,['ya [Positive (4.0)] atur [Negative (4.0)] anak [Negative (4.0)] lawan [Negative (5.0)] hukum [Negative (5.0)] banget [Positive (1.0)] liat [Negative (2.0)] vidio jahat [Negative (4.0)] seprti anak [Negative (3.0)] orang miris [Negative (4.0)]'],-4.0,Negative,ya atur anak lawan hukum banget liat vidio jahat seprti anak orang miris
capek [Negative (4.0)] dengar [Positive (2.0)] berita [Negative (2.0)] bullying kaya [Negative (2.0)] gin untung [Negative (1.0)] sih membully orang sok jago [Negative (4.0)] banget [Positive (1.0)], capek dengar berita bullying kaya gin untung sih membully orang sok jago banget,['capek [Negative (4.0)] dengar [Positive (2.0)] berita [Negative (2.0)] bullying kaya [Negative (2.0)] gin untung [Negative (1.0)] sih membully orang sok jago [Negative (4.0)] banget [Positive (1.0)]'],-4.0,Negative,capek dengar berita bullying kaya gin untung sih membully orang sok jago banget
jawa bart, jawa bart,['jawa bart'],0.0,Neutral,jawa bart
