classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
korban [Negative (4.0)] damai, korban damai,['korban [Negative (4.0)] damai'],-4.0,Negative,korban damai
pidana nga ges udah luka [Negative (5.0)] ampe masuk [Negative (3.0)] rs, pidana nga ges udah luka ampe masuk rs,['pidana nga ges udah luka [Negative (5.0)] ampe masuk [Negative (3.0)] rs'],-3.0,Negative,pidana nga ges udah luka ampe masuk rs
bocah sekolah [Positive (3.0)] ajar [Negative (3.0)] debus ya [Positive (4.0)], bocah sekolah ajar debus ya,['bocah sekolah [Positive (3.0)] ajar [Negative (3.0)] debus ya [Positive (4.0)]'],4.0,Positive,bocah sekolah ajar debus ya
cerita [Negative (4.0)] the glory nyata [Negative (2.0)] ya [Positive (4.0)], cerita the glory nyata ya,['cerita [Negative (4.0)] the glory nyata [Negative (2.0)] ya [Positive (4.0)]'],4.0,Positive,cerita the glory nyata ya
kaya [Negative (2.0)] gin pilem drakor generasi [Negative (3.0)] cuy, kaya gin pilem drakor generasi cuy,['kaya [Negative (2.0)] gin pilem drakor generasi [Negative (3.0)] cuy'],-3.0,Negative,kaya gin pilem drakor generasi cuy
tolong [Negative (2.0)] perkara [Negative (5.0)] henti [Negative (5.0)] sekolah [Positive (3.0)], tolong perkara henti sekolah,['tolong [Negative (2.0)] perkara [Negative (5.0)] henti [Negative (5.0)] sekolah [Positive (3.0)]'],-5.0,Negative,tolong perkara henti sekolah
parah [Negative (5.0)] mah sekolah [Positive (3.0)] keren jamin [Negative (5.0)] aman anak [Negative (3.0)], parah mah sekolah keren jamin aman anak,['parah [Negative (5.0)] mah sekolah [Positive (3.0)] keren jamin [Negative (5.0)] aman anak [Negative (3.0)]'],0.0,Neutral,parah mah sekolah keren jamin aman anak
jaman [Negative (2.0)] sekolah [Positive (3.0)] nge gank asa [Negative (2.0)] smp lukain fisik ade kelas [Negative (3.0)] udah kyknya banter jambak [Negative (5.0)] rambut aja [Positive (1.0)] kl ngegencet smp luka [Negative (5.0)] orang ya [Positive (4.0)] pikir [Negative (2.0)] aja [Positive (1.0)] gitu jahat [Negative (4.0)], jaman sekolah nge gank asa smp lukain fisik ade kelas udah kyknya banter jambak rambut aja kl ngegencet smp luka orang ya pikir aja gitu jahat,['jaman [Negative (2.0)] sekolah [Positive (3.0)] nge gank asa [Negative (2.0)] smp lukain fisik ade kelas [Negative (3.0)] udah kyknya banter jambak [Negative (5.0)] rambut aja [Positive (1.0)] kl ngegencet smp luka [Negative (5.0)] orang ya [Positive (4.0)] pikir [Negative (2.0)] aja [Positive (1.0)] gitu jahat [Negative (4.0)]'],-4.0,Negative,jaman sekolah nge gank asa smp lukain fisik ade kelas udah kyknya banter jambak rambut aja kl ngegencet smp luka orang ya pikir aja gitu jahat
bibit mafia [Negative (5.0)] lulus [Positive (6.0)] tambah [Positive (4.0)] backing orang tua [Negative (4.0)], bibit mafia lulus tambah backing orang tua,['bibit mafia [Negative (5.0)] lulus [Positive (6.0)] tambah [Positive (4.0)] backing orang tua [Negative (4.0)]'],0.0,Neutral,bibit mafia lulus tambah backing orang tua
anak [Negative (3.0)] biar [Negative (4.0)] butuh [Negative (6.0)] sosok ayah didik [Negative (3.0)] anak [Negative (4.0)] model [Positive (3.0)] dlgini bapak gagal [Negative (4.0)] cari [Negative (4.0)] duit sampe ketemu [Positive (1.0)] anak [Negative (3.0)] aja [Positive (1.0)] susah [Negative (3.0)] mindset sekolahin dit mahal [Positive (1.0)] harap [Negative (3.0)] didik [Negative (4.0)] bagus [Negative (5.0)] jaman [Negative (2.0)] saiki susah [Negative (3.0)] sih gengsi [Positive (4.0)] atas [Negative (4.0)], anak biar butuh sosok ayah didik anak model dlgini bapak gagal cari duit sampe ketemu anak aja susah mindset sekolahin dit mahal harap didik bagus jaman saiki susah sih gengsi atas,['anak [Negative (3.0)] biar [Negative (4.0)] butuh [Negative (6.0)] sosok ayah didik [Negative (3.0)] anak [Negative (4.0)] model [Positive (3.0)] dlgini bapak gagal [Negative (4.0)] cari [Negative (4.0)] duit sampe ketemu [Positive (1.0)] anak [Negative (3.0)] aja [Positive (1.0)] susah [Negative (3.0)] mindset sekolahin dit mahal [Positive (1.0)] harap [Negative (3.0)] didik [Negative (4.0)] bagus [Negative (5.0)] jaman [Negative (2.0)] saiki susah [Negative (3.0)] sih gengsi [Positive (4.0)] atas [Negative (4.0)]'],0.0,Neutral,anak biar butuh sosok ayah didik anak model dlgini bapak gagal cari duit sampe ketemu anak aja susah mindset sekolahin dit mahal harap didik bagus jaman saiki susah sih gengsi atas
