classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
langsung [Positive (3.0)] calon wakil ganjar [Negative (3.0)], langsung calon wakil ganjar,['langsung [Positive (3.0)] calon wakil ganjar [Negative (3.0)]'],0.0,Neutral,langsung calon wakil ganjar
berani speak up neng [Negative (1.0)] takut [Negative (5.0)] terimakasih [Positive (5.0)] udah wakil, berani speak up neng takut terimakasih udah wakil,['berani speak up neng [Negative (1.0)] takut [Negative (5.0)] terimakasih [Positive (5.0)] udah wakil'],0.0,Neutral,berani speak up neng takut terimakasih udah wakil
setujuu ham era ganjar [Negative (3.0)] presiden tegak, setujuu ham era ganjar presiden tegak,['setujuu ham era ganjar [Negative (3.0)] presiden tegak'],-3.0,Negative,setujuu ham era ganjar presiden tegak
menkopolhukam mahfud mahfud gagal [Negative (4.0)] nggak [Positive (1.0)] salah [Negative (4.0)] ngomong kang, menkopolhukam mahfud mahfud gagal nggak salah ngomong kang,['menkopolhukam mahfud mahfud gagal [Negative (4.0)] nggak [Positive (1.0)] salah [Negative (4.0)] ngomong kang'],-4.0,Negative,menkopolhukam mahfud mahfud gagal nggak salah ngomong kang
ganjar [Negative (3.0)] hobi ngomong ngawur blunder ya [Positive (4.0)] maklum [Negative (2.0)] omong [Negative (5.0)] pesan [Negative (4.0)] gerombol [Negative (5.0)] banteng [Negative (4.0)] kasi [Negative (4.0)] yah lumayan [Negative (2.0)] capres lucu [Negative (2.0)] lucu [Negative (2.0)], ganjar hobi ngomong ngawur blunder ya maklum omong pesan gerombol banteng kasi yah lumayan capres lucu lucu,['ganjar [Negative (3.0)] hobi ngomong ngawur blunder ya [Positive (4.0)] maklum [Negative (2.0)] omong [Negative (5.0)] pesan [Negative (4.0)] gerombol [Negative (5.0)] banteng [Negative (4.0)] kasi [Negative (4.0)] yah lumayan [Negative (2.0)] capres lucu [Negative (2.0)] lucu [Negative (2.0)]'],4.0,Positive,ganjar hobi ngomong ngawur blunder ya maklum omong pesan gerombol banteng kasi yah lumayan capres lucu lucu
menkopolhukamnya, menkopolhukamnya,['menkopolhukamnya'],0.0,Neutral,menkopolhukamnya
tombol anti [Negative (2.0)] pdip, tombol anti pdip,['tombol anti [Negative (2.0)] pdip'],-2.0,Negative,tombol anti pdip
calon wakil gagal [Negative (4.0)] total senjata makan [Negative (1.0)] tuan, calon wakil gagal total senjata makan tuan,['calon wakil gagal [Negative (4.0)] total senjata makan [Negative (1.0)] tuan'],0.0,Neutral,calon wakil gagal total senjata makan tuan
ganjar [Negative (3.0)] mahfud, ganjar mahfud,['ganjar [Negative (3.0)] mahfud'],-3.0,Negative,ganjar mahfud
ya [Positive (4.0)] alloh beri [Negative (2.0)] bangsa pimpin amanah [Positive (5.0)] jujur [Negative (1.0)] rendah [Negative (6.0)] hati [Positive (4)] insyaallah [Positive (2.0)] ganjar [Negative (3.0)] mahfud md, ya alloh beri bangsa pimpin amanah jujur rendah hati insyaallah ganjar mahfud md,['ya [Positive (4.0)] alloh beri [Negative (2.0)] bangsa pimpin amanah [Positive (5.0)] jujur [Negative (1.0)] rendah [Negative (6.0)] hati [Positive (4)] insyaallah [Positive (2.0)] ganjar [Negative (3.0)] mahfud md'],-3.0,Negative,ya alloh beri bangsa pimpin amanah jujur rendah hati insyaallah ganjar mahfud md
partai dendam [Negative (5.0)] indonesia, partai dendam indonesia,['partai dendam [Negative (5.0)] indonesia'],-5.0,Negative,partai dendam indonesia
sih nilai [Positive (5.0)], sih nilai,['sih nilai [Positive (5.0)]'],5.0,Positive,sih nilai
panutan boss berani speak up salah [Negative (4.0)], panutan boss berani speak up salah,['panutan boss berani speak up salah [Negative (4.0)]'],-4.0,Negative,panutan boss berani speak up salah
