classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
tahu [Negative (4.0)] berita [Negative (2.0)] hoax [Negative (6.0)], tahu berita hoax,['tahu [Negative (4.0)] berita [Negative (2.0)] hoax [Negative (6.0)]'],-5.0,Negative,tahu berita hoax
hoax [Negative (5.0)] anjir [Negative (6.0)], hoax anjir,['hoax [Negative (5.0)] anjir [Negative (6.0)]'],-5.0,Negative,hoax anjir
please [Negative (3.0)] stop [Negative (4.0)] bullying, please stop bullying,['please [Negative (3.0)] stop [Negative (4.0)] bullying'],-4.0,Negative,please stop bullying
ya [Positive (4.0)] gitu kl orang iri [Negative (5.0)] orang cari [Negative (3.0)] salah [Negative (5.0)] sampe bikin hoaxnya, ya gitu kl orang iri orang cari salah sampe bikin hoaxnya,['ya [Positive (4.0)] gitu kl orang iri [Negative (5.0)] orang cari [Negative (3.0)] salah [Negative (5.0)] sampe bikin hoaxnya'],-5.0,Negative,ya gitu kl orang iri orang cari salah sampe bikin hoaxnya
feel bro, feel bro,['feel bro'],0.0,Neutral,feel bro
bayang [Positive (2.0)] anak [Negative (3.0)] keponakan saudara, bayang anak keponakan saudara,['bayang [Positive (2.0)] anak [Negative (3.0)] keponakan saudara'],-3.0,Negative,bayang anak keponakan saudara
keep strong boy, keep strong boy,['keep strong boy'],0.0,Neutral,keep strong boy
akting kawan kawan kena [Negative (3.0)] bullying artis [Positive (2.0)] amerika, akting kawan kawan kena bullying artis amerika,['akting kawan kawan kena [Negative (3.0)] bullying artis [Positive (2.0)] amerika'],-3.0,Negative,akting kawan kawan kena bullying artis amerika
buka [Negative (3.0)] instagram udah bohong [Negative (5.0)], buka instagram udah bohong,['buka [Negative (3.0)] instagram udah bohong [Negative (5.0)]'],-5.0,Negative,buka instagram udah bohong
film film ya [Positive (4.0)], film film ya,['film film ya [Positive (4.0)]'],4.0,Positive,film film ya
it fake stop [Negative (3.0)] sharing [Positive (3.0)], it fake stop sharing,['it fake stop [Negative (3.0)] sharing [Positive (3.0)]'],0.0,Neutral,it fake stop sharing
btw hoax [Negative (5.0)] ya [Positive (4.0)] netizen, btw hoax ya netizen,['btw hoax [Negative (5.0)] ya [Positive (4.0)] netizen'],-5.0,Negative,btw hoax ya netizen
