classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
besok besok nasdem pkb gabung [Negative (5.0)] perintah anies tinggal [Negative (3.0)] deh, besok besok nasdem pkb gabung perintah anies tinggal deh,['besok besok nasdem pkb gabung [Negative (5.0)] perintah anies tinggal [Negative (3.0)] deh'],-3.0,Negative,besok besok nasdem pkb gabung perintah anies tinggal deh
oh gitu konsisten yaa masuk [Negative (3.0)] kabinet [Negative (4.0)] nyalonin gubernur gimana, oh gitu konsisten yaa masuk kabinet nyalonin gubernur gimana,['oh gitu konsisten yaa masuk [Negative (3.0)] kabinet [Negative (4.0)] nyalonin gubernur gimana'],-4.0,Negative,oh gitu konsisten yaa masuk kabinet nyalonin gubernur gimana
anies sibuk [Negative (3.0)] ubah abdi bangsa negara ubah gabung [Negative (5.0)] kabinet [Negative (4.0)] indonesia maju, anies sibuk ubah abdi bangsa negara ubah gabung kabinet indonesia maju,['anies sibuk [Negative (3.0)] ubah abdi bangsa negara ubah gabung [Negative (5.0)] kabinet [Negative (4.0)] indonesia maju'],-4.0,Negative,anies sibuk ubah abdi bangsa negara ubah gabung kabinet indonesia maju
siape elu [Negative (2.0)] nggak [Positive (1.0)] ngaruh ubah sono kelk sorryy yee, siape elu nggak ngaruh ubah sono kelk sorryy yee,['siape elu [Negative (2.0)] nggak [Positive (1.0)] ngaruh ubah sono kelk sorryy yee'],-2.0,Negative,siape elu nggak ngaruh ubah sono kelk sorryy yee
masya allah [Positive (5.0)], masya allah,['masya allah [Positive (5.0)]'],5.0,Positive,masya allah
omon omon, omon omon,['omon omon'],0.0,Neutral,omon omon
janji kaya [Negative (2.0)] ps ya [Positive (4.0)], janji kaya ps ya,['janji kaya [Negative (2.0)] ps ya [Positive (4.0)]'],4.0,Positive,janji kaya ps ya
semangaat oposisi [Negative (3.0)] butuh [Negative (6.0)] jiwa sprt, semangaat oposisi butuh jiwa sprt,['semangaat oposisi [Negative (3.0)] butuh [Negative (6.0)] jiwa sprt'],-5.0,Negative,semangaat oposisi butuh jiwa sprt
yaa hormat putus [Negative (5.0)] beliau juang [Negative (3.0)] presiden rohingnya, yaa hormat putus beliau juang presiden rohingnya,['yaa hormat putus [Negative (5.0)] beliau juang [Negative (3.0)] presiden rohingnya'],-3.0,Negative,yaa hormat putus beliau juang presiden rohingnya
kayak [Negative (3.0)] gatau [Negative (1.0)] omong [Negative (5.0)] aja [Positive (1.0)], kayak gatau omong aja,['kayak [Negative (3.0)] gatau [Negative (1.0)] omong [Negative (5.0)] aja [Positive (1.0)]'],-5.0,Negative,kayak gatau omong aja
kampung loker guru [Positive (3.0)] monggo [Positive (4.0)], kampung loker guru monggo,['kampung loker guru [Positive (3.0)] monggo [Positive (4.0)]'],4.0,Positive,kampung loker guru monggo
utang [Negative (4.0)] bayar [Negative (4.0)], utang bayar,['utang [Negative (4.0)] bayar [Negative (4.0)]'],-4.0,Negative,utang bayar
anis tum pks, anis tum pks,['anis tum pks'],0.0,Neutral,anis tum pks
tolong [Negative (2.0)] hianati ya [Positive (4.0)] juang [Negative (3.0)] keras tenaga [Positive (3.0)] sampe gocek kali, tolong hianati ya juang keras tenaga sampe gocek kali,['tolong [Negative (2.0)] hianati ya [Positive (4.0)] juang [Negative (3.0)] keras tenaga [Positive (3.0)] sampe gocek kali'],0.0,Neutral,tolong hianati ya juang keras tenaga sampe gocek kali
moga [Positive (1.0)] pilpres partai calon orang, moga pilpres partai calon orang,['moga [Positive (1.0)] pilpres partai calon orang'],0.0,Neutral,moga pilpres partai calon orang
tunggu [Negative (2.0)] aja [Positive (1.0)] oposisi [Negative (3.0)] nang [Negative (6.0)] protes [Negative (4.0)] perintah khianat [Negative (4.0)] ucap [Negative (2.0)] koalisi, tunggu aja oposisi nang protes perintah khianat ucap koalisi,['tunggu [Negative (2.0)] aja [Positive (1.0)] oposisi [Negative (3.0)] nang [Negative (6.0)] protes [Negative (4.0)] perintah khianat [Negative (4.0)] ucap [Negative (2.0)] koalisi'],-2.0,Negative,tunggu aja oposisi nang protes perintah khianat ucap koalisi
beliau konsisten, beliau konsisten,['beliau konsisten'],0.0,Neutral,beliau konsisten
abahh apa [Negative (3.0)] hasilny dh bangga [Positive (4.0)] banget [Positive (1.0)] ksh suara [Negative (1.0)] abah [Positive (3.0)], abahh apa hasilny dh bangga banget ksh suara abah,['abahh apa [Negative (3.0)] hasilny dh bangga [Positive (4.0)] banget [Positive (1.0)] ksh suara [Negative (1.0)] abah [Positive (3.0)]'],3.0,Positive,abahh apa hasilny dh bangga banget ksh suara abah
bsok bpk debat [Positive (3.0)] burung beo ya [Positive (4.0)] persis bnyak bicara, bsok bpk debat burung beo ya persis bnyak bicara,['bsok bpk debat [Positive (3.0)] burung beo ya [Positive (4.0)] persis bnyak bicara'],4.0,Positive,bsok bpk debat burung beo ya persis bnyak bicara
