Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Bahkan lebih buruk daripada ngebleb,Bahkan lebih buruk daripada ngebleb,bahkan lebih buruk daripada ngebleb,"['bahkan', 'lebih', 'buruk', 'daripada', 'ngebleb']","['bahkan', 'lebih', 'buruk', 'daripada', 'ngebleb']","['buruk', 'ngebleb']","['buruk', 'ngebleb']",buruk ngebleb
"Kurung aja,lah lg ayam d lepas d sekolahan ya gt rusuh",Kurung aja lah lg ayam lepas sekolahan ya gt rusuh,kurung aja lah lg ayam lepas sekolahan ya gt rusuh,"['kurung', 'aja', 'lah', 'lg', 'ayam', 'lepas', 'sekolahan', 'ya', 'gt', 'rusuh']","['kurung', 'aja', 'lah', 'lagi', 'ayam', 'lepas', 'sekolahan', 'ya', 'gitu', 'rusuh']","['kurung', 'aja', 'ayam', 'lepas', 'sekolahan', 'ya', 'gitu', 'rusuh']","['kurung', 'aja', 'ayam', 'lepas', 'sekolah', 'ya', 'gitu', 'rusuh']",kurung aja ayam lepas sekolah ya gitu rusuh
tidak punya etika,tidak punya etika,tidak punya etika,"['tidak', 'punya', 'etika']","['tidak', 'punya', 'etika']",['etika'],['etika'],etika
Jgn disensor dong..mereka lho gak malu ngebully tmn nya sendiri.,Jgn disensor dong mereka lho gak malu ngebully tmn nya sendiri,jgn disensor dong mereka lho gak malu ngebully tmn nya sendiri,"['jgn', 'disensor', 'dong', 'mereka', 'lho', 'gak', 'malu', 'ngebully', 'tmn', 'nya', 'sendiri']","['jangan', 'disensor', 'dong', 'mereka', 'lho', 'enggak', 'malu', 'ngebully', 'tmn', 'nya', 'sendiri']","['disensor', 'lho', 'malu', 'ngebully', 'tmn', 'nya']","['sensor', 'lho', 'malu', 'ngebully', 'tmn', 'nya']",sensor lho malu ngebully tmn nya
Abisin aja lah pelakunya. Hukum yg serius biar ga jd penyakit masyarakat @divisihumaspolri,Abisin aja lah pelakunya Hukum yg serius biar ga jd penyakit masyarakat,abisin aja lah pelakunya hukum yg serius biar ga jd penyakit masyarakat,"['abisin', 'aja', 'lah', 'pelakunya', 'hukum', 'yg', 'serius', 'biar', 'ga', 'jd', 'penyakit', 'masyarakat']","['abisin', 'aja', 'lah', 'pelakunya', 'hukum', 'yang', 'serius', 'biar', 'enggak', 'jadi', 'penyakit', 'masyarakat']","['abisin', 'aja', 'pelakunya', 'hukum', 'serius', 'biar', 'penyakit', 'masyarakat']","['abisin', 'aja', 'laku', 'hukum', 'serius', 'biar', 'sakit', 'masyarakat']",abisin aja laku hukum serius biar sakit masyarakat
"Jangan mandang umur kalo salah ya kasih hukuman, Coba sekarang pikir gimana perasaan anak itu dan keluarganya? saya yg gk kenal aja merasa kesal,apalagi keluarganya,,belum lagi gimana kalo anak itu jadi trauma atau macem²?",Jangan mandang umur kalo salah ya kasih hukuman Coba sekarang pikir gimana perasaan anak itu dan keluarganya saya yg gk kenal aja merasa kesal apalagi keluarganya belum lagi gimana kalo anak itu jadi trauma atau macem,jangan mandang umur kalo salah ya kasih hukuman coba sekarang pikir gimana perasaan anak itu dan keluarganya saya yg gk kenal aja merasa kesal apalagi keluarganya belum lagi gimana kalo anak itu jadi trauma atau macem,"['jangan', 'mandang', 'umur', 'kalo', 'salah', 'ya', 'kasih', 'hukuman', 'coba', 'sekarang', 'pikir', 'gimana', 'perasaan', 'anak', 'itu', 'dan', 'keluarganya', 'saya', 'yg', 'gk', 'kenal', 'aja', 'merasa', 'kesal', 'apalagi', 'keluarganya', 'belum', 'lagi', 'gimana', 'kalo', 'anak', 'itu', 'jadi', 'trauma', 'atau', 'macem']","['jangan', 'mandang', 'umur', 'kalau', 'salah', 'ya', 'kasih', 'hukuman', 'coba', 'sekarang', 'pikir', 'gimana', 'perasaan', 'anak', 'itu', 'dan', 'keluarganya', 'saya', 'yang', 'enggak', 'kenal', 'aja', 'merasa', 'kesal', 'apalagi', 'keluarganya', 'belum', 'lagi', 'gimana', 'kalau', 'anak', 'itu', 'jadi', 'trauma', 'atau', 'macem']","['mandang', 'umur', 'salah', 'ya', 'kasih', 'hukuman', 'coba', 'pikir', 'gimana', 'perasaan', 'anak', 'keluarganya', 'kenal', 'aja', 'kesal', 'keluarganya', 'gimana', 'anak', 'trauma', 'macem']","['mandang', 'umur', 'salah', 'ya', 'kasih', 'hukum', 'coba', 'pikir', 'gimana', 'asa', 'anak', 'keluarga', 'kenal', 'aja', 'kesal', 'keluarga', 'gimana', 'anak', 'trauma', 'macem']",mandang umur salah ya kasih hukum coba pikir gimana asa anak keluarga kenal aja kesal keluarga gimana anak trauma macem
"DAK JAMAN DAMAI KALAU URUSANNYA SEPERTI INI.ingatttttt ,gimana klw perempuantu keluarga kita",DAK JAMAN DAMAI KALAU URUSANNYA SEPERTI INI ingatt gimana klw perempuantu keluarga kita,dak jaman damai kalau urusannya seperti ini ingatt gimana klw perempuantu keluarga kita,"['dak', 'jaman', 'damai', 'kalau', 'urusannya', 'seperti', 'ini', 'ingatt', 'gimana', 'klw', 'perempuantu', 'keluarga', 'kita']","['dak', 'jaman', 'damai', 'kalau', 'urusannya', 'seperti', 'ini', 'ingatt', 'gimana', 'kalau', 'perempuantu', 'keluarga', 'kita']","['dak', 'jaman', 'damai', 'urusannya', 'ingatt', 'gimana', 'perempuantu', 'keluarga']","['dak', 'jaman', 'damai', 'urus', 'ingatt', 'gimana', 'perempuantu', 'keluarga']",dak jaman damai urus ingatt gimana perempuantu keluarga
JANGAN DIKASIH AMPUNNN.LAKNATT BUDAK LANANGTU...betino disikso gtu👏👏,JANGAN DIKASIH AMPUNN LAKNATT BUDAK LANANGTU betino disikso gtu,jangan dikasih ampunn laknatt budak lanangtu betino disikso gtu,"['jangan', 'dikasih', 'ampunn', 'laknatt', 'budak', 'lanangtu', 'betino', 'disikso', 'gtu']","['jangan', 'dikasih', 'ampunn', 'laknatt', 'budak', 'lanangtu', 'betino', 'disikso', 'gitu']","['dikasih', 'ampunn', 'laknatt', 'budak', 'lanangtu', 'betino', 'disikso', 'gitu']","['kasih', 'ampunn', 'laknatt', 'budak', 'lanangtu', 'betino', 'disikso', 'gitu']",kasih ampunn laknatt budak lanangtu betino disikso gitu
Sokor keno tangkep...nangis2 pasti,Sokor keno tangkep nangis pasti,sokor keno tangkep nangis pasti,"['sokor', 'keno', 'tangkep', 'nangis', 'pasti']","['sokor', 'keno', 'tangkep', 'nangis', 'pasti']","['sokor', 'keno', 'tangkep', 'nangis']","['sokor', 'keno', 'tangkep', 'nang']",sokor keno tangkep nang
Bagus pak itu siswa dikeluarkan aja dari sekolah,Bagus pak itu siswa dikeluarkan aja dari sekolah,bagus pak itu siswa dikeluarkan aja dari sekolah,"['bagus', 'pak', 'itu', 'siswa', 'dikeluarkan', 'aja', 'dari', 'sekolah']","['bagus', 'pak', 'itu', 'siswa', 'dikeluarkan', 'aja', 'dari', 'sekolah']","['bagus', 'siswa', 'dikeluarkan', 'aja', 'sekolah']","['bagus', 'siswa', 'keluar', 'aja', 'sekolah']",bagus siswa keluar aja sekolah
