Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Emang paling bener sekolah di al-azhar,Emang paling bener sekolah di al azhar,emang paling bener sekolah di al azhar,"['emang', 'paling', 'bener', 'sekolah', 'di', 'al', 'azhar']","['emang', 'paling', 'bener', 'sekolah', 'di', 'al', 'azhar']","['emang', 'bener', 'sekolah', 'al', 'azhar']","['emang', 'bener', 'sekolah', 'al', 'azhar']",emang bener sekolah al azhar
Udah paling bener sekolah paket C,Udah paling bener sekolah paket,udah paling bener sekolah paket,"['udah', 'paling', 'bener', 'sekolah', 'paket']","['udah', 'paling', 'bener', 'sekolah', 'paket']","['udah', 'bener', 'sekolah', 'paket']","['udah', 'bener', 'sekolah', 'paket']",udah bener sekolah paket
harusnya yg lebih disorot itu anak Arief Suditomo ex-news anchor,harusnya yg lebih disorot itu anak Arief Suditomo ex news anchor,harusnya yg lebih disorot itu anak arief suditomo ex news anchor,"['harusnya', 'yg', 'lebih', 'disorot', 'itu', 'anak', 'arief', 'suditomo', 'ex', 'news', 'anchor']","['harusnya', 'yang', 'lebih', 'disorot', 'itu', 'anak', 'arief', 'suditomo', 'ex', 'news', 'anchor']","['disorot', 'anak', 'arief', 'suditomo', 'ex', 'news', 'anchor']","['sorot', 'anak', 'arief', 'suditomo', 'ex', 'news', 'anchor']",sorot anak arief suditomo ex news anchor
Gw punya videonya pula 😢,Gw punya videonya pula,gw punya videonya pula,"['gw', 'punya', 'videonya', 'pula']","['aku', 'punya', 'videonya', 'pula']",['videonya'],['video'],video
Spil ig anaknya,Spil ig anaknya,spil ig anaknya,"['spil', 'ig', 'anaknya']","['spil', 'instagram', 'anaknya']","['spil', 'instagram', 'anaknya']","['spil', 'instagram', 'anak']",spil instagram anak
"Kabarnya ada anak DPRD, ya? Intinya sih yang kuliah di BINUS itu biasanya anak orang kaya. Jadi pasti orang2 terpandanglah.",Kabarnya ada anak DPRD ya Intinya sih yang kuliah di BINUS itu biasanya anak orang kaya Jadi pasti orang terpandanglah,kabarnya ada anak dprd ya intinya sih yang kuliah di binus itu biasanya anak orang kaya jadi pasti orang terpandanglah,"['kabarnya', 'ada', 'anak', 'dprd', 'ya', 'intinya', 'sih', 'yang', 'kuliah', 'di', 'binus', 'itu', 'biasanya', 'anak', 'orang', 'kaya', 'jadi', 'pasti', 'orang', 'terpandanglah']","['kabarnya', 'ada', 'anak', 'dprd', 'ya', 'intinya', 'sih', 'yang', 'kuliah', 'di', 'binus', 'itu', 'biasanya', 'anak', 'orang', 'kaya', 'jadi', 'pasti', 'orang', 'terpandanglah']","['kabarnya', 'anak', 'dprd', 'ya', 'intinya', 'sih', 'kuliah', 'binus', 'anak', 'orang', 'kaya', 'orang', 'terpandanglah']","['kabar', 'anak', 'dprd', 'ya', 'inti', 'sih', 'kuliah', 'bus', 'anak', 'orang', 'kaya', 'orang', 'pandang']",kabar anak dprd ya inti sih kuliah bus anak orang kaya orang pandang
nggak kebayang gimana ngamuknya vincent ke anaknya 😥,nggak kebayang gimana ngamuknya vincent ke anaknya,nggak kebayang gimana ngamuknya vincent ke anaknya,"['nggak', 'kebayang', 'gimana', 'ngamuknya', 'vincent', 'ke', 'anaknya']","['nggak', 'kebayang', 'gimana', 'ngamuknya', 'vincent', 'ke', 'anaknya']","['nggak', 'kebayang', 'gimana', 'ngamuknya', 'vincent', 'anaknya']","['nggak', 'bayang', 'gimana', 'ngamuknya', 'vincent', 'anak']",nggak bayang gimana ngamuknya vincent anak
Jangan hanya vincent dan anaknya aja dong yg diberitakan...,Jangan hanya vincent dan anaknya aja dong yg diberitakan,jangan hanya vincent dan anaknya aja dong yg diberitakan,"['jangan', 'hanya', 'vincent', 'dan', 'anaknya', 'aja', 'dong', 'yg', 'diberitakan']","['jangan', 'hanya', 'vincent', 'dan', 'anaknya', 'aja', 'dong', 'yang', 'diberitakan']","['vincent', 'anaknya', 'aja', 'diberitakan']","['vincent', 'anak', 'aja', 'berita']",vincent anak aja berita
"Sekolah nya BINUS, kelakuan murid nya MINUS...😂😂",Sekolah nya BINUS kelakuan murid nya MINUS,sekolah nya binus kelakuan murid nya minus,"['sekolah', 'nya', 'binus', 'kelakuan', 'murid', 'nya', 'minus']","['sekolah', 'nya', 'binus', 'kelakuan', 'murid', 'nya', 'minus']","['sekolah', 'nya', 'binus', 'kelakuan', 'murid', 'nya', 'minus']","['sekolah', 'nya', 'bus', 'laku', 'murid', 'nya', 'minus']",sekolah nya bus laku murid nya minus
Spill nama semua pelakunya min 👏,Spill nama semua pelakunya min,spill nama semua pelakunya min,"['spill', 'nama', 'semua', 'pelakunya', 'min']","['spill', 'nama', 'semua', 'pelakunya', 'admin']","['spill', 'nama', 'pelakunya', 'admin']","['spill', 'nama', 'laku', 'admin']",spill nama laku admin
