Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Korban jangan mau berdamai,Korban jangan mau berdamai,korban jangan mau berdamai,"['korban', 'jangan', 'mau', 'berdamai']","['korban', 'jangan', 'mau', 'berdamai']","['korban', 'berdamai']","['korban', 'damai']",korban damai
Pidana nga se ges kalau udah luka2 ampe masuk RS ??,Pidana nga se ges kalau udah luka ampe masuk RS,pidana nga se ges kalau udah luka ampe masuk rs,"['pidana', 'nga', 'se', 'ges', 'kalau', 'udah', 'luka', 'ampe', 'masuk', 'rs']","['pidana', 'nga', 'se', 'ges', 'kalau', 'udah', 'luka', 'ampe', 'masuk', 'rs']","['pidana', 'nga', 'ges', 'udah', 'luka', 'ampe', 'masuk', 'rs']","['pidana', 'nga', 'ges', 'udah', 'luka', 'ampe', 'masuk', 'rs']",pidana nga ges udah luka ampe masuk rs
Itu bocah pada sekolah apa belajar debus ya??,Itu bocah pada sekolah apa belajar debus ya,itu bocah pada sekolah apa belajar debus ya,"['itu', 'bocah', 'pada', 'sekolah', 'apa', 'belajar', 'debus', 'ya']","['itu', 'bocah', 'pada', 'sekolah', 'apa', 'belajar', 'debus', 'ya']","['bocah', 'sekolah', 'belajar', 'debus', 'ya']","['bocah', 'sekolah', 'ajar', 'debus', 'ya']",bocah sekolah ajar debus ya
Mau cerita The Glory jd kenyataan ya?,Mau cerita The Glory jd kenyataan ya,mau cerita the glory jd kenyataan ya,"['mau', 'cerita', 'the', 'glory', 'jd', 'kenyataan', 'ya']","['mau', 'cerita', 'the', 'glory', 'jadi', 'kenyataan', 'ya']","['cerita', 'the', 'glory', 'kenyataan', 'ya']","['cerita', 'the', 'glory', 'nyata', 'ya']",cerita the glory nyata ya
"Gue kira kaya gini cuma ada di pilem² atau drakor, ternyata di sini ada juga...9 generasi cuy😢",Gue kira kaya gini cuma ada di pilem atau drakor ternyata di sini ada juga generasi cuy,gue kira kaya gini cuma ada di pilem atau drakor ternyata di sini ada juga generasi cuy,"['gue', 'kira', 'kaya', 'gini', 'cuma', 'ada', 'di', 'pilem', 'atau', 'drakor', 'ternyata', 'di', 'sini', 'ada', 'juga', 'generasi', 'cuy']","['aku', 'kira', 'kaya', 'gini', 'cuma', 'ada', 'di', 'pilem', 'atau', 'drakor', 'ternyata', 'di', 'sini', 'ada', 'juga', 'generasi', 'cuy']","['kaya', 'gini', 'pilem', 'drakor', 'generasi', 'cuy']","['kaya', 'gin', 'pilem', 'drakor', 'generasi', 'cuy']",kaya gin pilem drakor generasi cuy
"Tolong semua yg ikut serta dalam perkara ini, di berhentikan dari sekolah",Tolong semua yg ikut serta dalam perkara ini di berhentikan dari sekolah,tolong semua yg ikut serta dalam perkara ini di berhentikan dari sekolah,"['tolong', 'semua', 'yg', 'ikut', 'serta', 'dalam', 'perkara', 'ini', 'di', 'berhentikan', 'dari', 'sekolah']","['tolong', 'semua', 'yang', 'ikut', 'serta', 'dalam', 'perkara', 'ini', 'di', 'berhentikan', 'dari', 'sekolah']","['tolong', 'perkara', 'berhentikan', 'sekolah']","['tolong', 'perkara', 'henti', 'sekolah']",tolong perkara henti sekolah
"Wah parah ini mah ,sekolah keren gk menjamin bisa aman anak2 kita",Wah parah ini mah sekolah keren gk menjamin bisa aman anak kita,wah parah ini mah sekolah keren gk menjamin bisa aman anak kita,"['wah', 'parah', 'ini', 'mah', 'sekolah', 'keren', 'gk', 'menjamin', 'bisa', 'aman', 'anak', 'kita']","['wah', 'parah', 'ini', 'mah', 'sekolah', 'keren', 'enggak', 'menjamin', 'bisa', 'aman', 'anak', 'kita']","['parah', 'mah', 'sekolah', 'keren', 'menjamin', 'aman', 'anak']","['parah', 'mah', 'sekolah', 'keren', 'jamin', 'aman', 'anak']",parah mah sekolah keren jamin aman anak
"Jaman sekolah nge-gank perasaan gak smp lukain fisik ade kelas dah kyknya...paling banter jambak rambut aja 😂, skrg knp kl ngegencet smp melukai org lain ya...kepikiran aja gt jahatnya 😮",Jaman sekolah nge gank perasaan gak smp lukain fisik ade kelas dah kyknya paling banter jambak rambut aja skrg knp kl ngegencet smp melukai org lain ya kepikiran aja gt jahatnya,jaman sekolah nge gank perasaan gak smp lukain fisik ade kelas dah kyknya paling banter jambak rambut aja skrg knp kl ngegencet smp melukai org lain ya kepikiran aja gt jahatnya,"['jaman', 'sekolah', 'nge', 'gank', 'perasaan', 'gak', 'smp', 'lukain', 'fisik', 'ade', 'kelas', 'dah', 'kyknya', 'paling', 'banter', 'jambak', 'rambut', 'aja', 'skrg', 'knp', 'kl', 'ngegencet', 'smp', 'melukai', 'org', 'lain', 'ya', 'kepikiran', 'aja', 'gt', 'jahatnya']","['jaman', 'sekolah', 'nge', 'gank', 'perasaan', 'enggak', 'smp', 'lukain', 'fisik', 'ade', 'kelas', 'udah', 'kyknya', 'paling', 'banter', 'jambak', 'rambut', 'aja', 'sekarang', 'kenapa', 'kl', 'ngegencet', 'smp', 'melukai', 'orang', 'lain', 'ya', 'kepikiran', 'aja', 'gitu', 'jahatnya']","['jaman', 'sekolah', 'nge', 'gank', 'perasaan', 'smp', 'lukain', 'fisik', 'ade', 'kelas', 'udah', 'kyknya', 'banter', 'jambak', 'rambut', 'aja', 'kl', 'ngegencet', 'smp', 'melukai', 'orang', 'ya', 'kepikiran', 'aja', 'gitu', 'jahatnya']","['jaman', 'sekolah', 'nge', 'gank', 'asa', 'smp', 'lukain', 'fisik', 'ade', 'kelas', 'udah', 'kyknya', 'banter', 'jambak', 'rambut', 'aja', 'kl', 'ngegencet', 'smp', 'luka', 'orang', 'ya', 'pikir', 'aja', 'gitu', 'jahat']",jaman sekolah nge gank asa smp lukain fisik ade kelas udah kyknya banter jambak rambut aja kl ngegencet smp luka orang ya pikir aja gitu jahat
"Bibit mafia kalau dh pada lulus, ditambah backing ortu 😂",Bibit mafia kalau dh pada lulus ditambah backing ortu,bibit mafia kalau dh pada lulus ditambah backing ortu,"['bibit', 'mafia', 'kalau', 'dh', 'pada', 'lulus', 'ditambah', 'backing', 'ortu']","['bibit', 'mafia', 'kalau', 'sudah', 'pada', 'lulus', 'ditambah', 'backing', 'orang tua']","['bibit', 'mafia', 'lulus', 'ditambah', 'backing', 'orang tua']","['bibit', 'mafia', 'lulus', 'tambah', 'backing', 'orang tua']",bibit mafia lulus tambah backing orang tua
"Anak biar bagaimana butuh sosok ayah sebagai pendidik. Kalau anaknya model dlgini berarti bapaknya gagal. Jangan cuma bs cari duit banyak2 sampe ketemu anak aja susah. Mindset sekolahin dit4 mahal dg harapan dpt pendidikan bagus. Tp.jaman saiki susah sih, krn gengsi diatas segalanya.",Anak biar bagaimana butuh sosok ayah sebagai pendidik Kalau anaknya model dlgini berarti bapaknya gagal Jangan cuma bs cari duit banyak sampe ketemu anak aja susah Mindset sekolahin dit mahal dg harapan dpt pendidikan bagus Tp jaman saiki susah sih krn gengsi diatas segalanya,anak biar bagaimana butuh sosok ayah sebagai pendidik kalau anaknya model dlgini berarti bapaknya gagal jangan cuma bs cari duit banyak sampe ketemu anak aja susah mindset sekolahin dit mahal dg harapan dpt pendidikan bagus tp jaman saiki susah sih krn gengsi diatas segalanya,"['anak', 'biar', 'bagaimana', 'butuh', 'sosok', 'ayah', 'sebagai', 'pendidik', 'kalau', 'anaknya', 'model', 'dlgini', 'berarti', 'bapaknya', 'gagal', 'jangan', 'cuma', 'bs', 'cari', 'duit', 'banyak', 'sampe', 'ketemu', 'anak', 'aja', 'susah', 'mindset', 'sekolahin', 'dit', 'mahal', 'dg', 'harapan', 'dpt', 'pendidikan', 'bagus', 'tp', 'jaman', 'saiki', 'susah', 'sih', 'krn', 'gengsi', 'diatas', 'segalanya']","['anak', 'biar', 'bagaimana', 'butuh', 'sosok', 'ayah', 'sebagai', 'pendidik', 'kalau', 'anaknya', 'model', 'dlgini', 'berarti', 'bapaknya', 'gagal', 'jangan', 'cuma', 'bisa', 'cari', 'duit', 'banyak', 'sampe', 'ketemu', 'anak', 'aja', 'susah', 'mindset', 'sekolahin', 'dit', 'mahal', 'dengan', 'harapan', 'dapat', 'pendidikan', 'bagus', 'tapi', 'jaman', 'saiki', 'susah', 'sih', 'karena', 'gengsi', 'diatas', 'segalanya']","['anak', 'biar', 'butuh', 'sosok', 'ayah', 'pendidik', 'anaknya', 'model', 'dlgini', 'bapaknya', 'gagal', 'cari', 'duit', 'sampe', 'ketemu', 'anak', 'aja', 'susah', 'mindset', 'sekolahin', 'dit', 'mahal', 'harapan', 'pendidikan', 'bagus', 'jaman', 'saiki', 'susah', 'sih', 'gengsi', 'diatas']","['anak', 'biar', 'butuh', 'sosok', 'ayah', 'didik', 'anak', 'model', 'dlgini', 'bapak', 'gagal', 'cari', 'duit', 'sampe', 'ketemu', 'anak', 'aja', 'susah', 'mindset', 'sekolahin', 'dit', 'mahal', 'harap', 'didik', 'bagus', 'jaman', 'saiki', 'susah', 'sih', 'gengsi', 'atas']",anak biar butuh sosok ayah didik anak model dlgini bapak gagal cari duit sampe ketemu anak aja susah mindset sekolahin dit mahal harap didik bagus jaman saiki susah sih gengsi atas
no excuse for bullying😢,no excuse for bullying,no excuse for bullying,"['no', 'excuse', 'for', 'bullying']","['no', 'excuse', 'for', 'bullying']","['no', 'excuse', 'for', 'bullying']","['no', 'excuse', 'for', 'bullying']",no excuse for bullying
Duh kejam banget.. Sampe d bakar segala..,Duh kejam banget Sampe bakar segala,duh kejam banget sampe bakar segala,"['duh', 'kejam', 'banget', 'sampe', 'bakar', 'segala']","['aduh', 'kejam', 'banget', 'sampe', 'bakar', 'segala']","['aduh', 'kejam', 'banget', 'sampe', 'bakar']","['aduh', 'kejam', 'banget', 'sampe', 'bakar']",aduh kejam banget sampe bakar
Usuut sereeet ke meja hijau,Usuut sereet ke meja hijau,usuut sereet ke meja hijau,"['usuut', 'sereet', 'ke', 'meja', 'hijau']","['usuut', 'sereet', 'ke', 'meja', 'hijau']","['usuut', 'sereet', 'meja', 'hijau']","['usuut', 'sereet', 'meja', 'hijau']",usuut sereet meja hijau
Sekolah mahal2 elit2..ternyata ad oknum pembully jg hadeh...,Sekolah mahal elit ternyata ad oknum pembully jg hadeh,sekolah mahal elit ternyata ad oknum pembully jg hadeh,"['sekolah', 'mahal', 'elit', 'ternyata', 'ad', 'oknum', 'pembully', 'jg', 'hadeh']","['sekolah', 'mahal', 'elit', 'ternyata', 'ad', 'oknum', 'pembully', 'juga', 'hadeh']","['sekolah', 'mahal', 'elit', 'ad', 'oknum', 'pembully', 'hadeh']","['sekolah', 'mahal', 'elit', 'ad', 'oknum', 'pembully', 'hadeh']",sekolah mahal elit ad oknum pembully hadeh
@nadiemmakarim pak.. piye pak.. dunia pendidikan nih kaya begini sekarang.. turun gunung atuh pak.,pak piye pak dunia pendidikan nih kaya begini sekarang turun gunung atuh pak,pak piye pak dunia pendidikan nih kaya begini sekarang turun gunung atuh pak,"['pak', 'piye', 'pak', 'dunia', 'pendidikan', 'nih', 'kaya', 'begini', 'sekarang', 'turun', 'gunung', 'atuh', 'pak']","['pak', 'piye', 'pak', 'dunia', 'pendidikan', 'ini', 'kaya', 'begini', 'sekarang', 'turun', 'gunung', 'atuh', 'pak']","['piye', 'dunia', 'pendidikan', 'kaya', 'turun', 'gunung', 'atuh']","['piye', 'dunia', 'didik', 'kaya', 'turun', 'gunung', 'atuh']",piye dunia didik kaya turun gunung atuh
Usut sampai BUI,Usut sampai BUI,usut sampai bui,"['usut', 'sampai', 'bui']","['usut', 'sampai', 'bui']","['usut', 'bui']","['usut', 'bui']",usut bui
