Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
calon preman.,calon preman,calon preman,"['calon', 'preman']","['calon', 'preman']","['calon', 'preman']","['calon', 'preman']",calon preman
"Kekerasan tetap tdk boleh di lakukan,,",Kekerasan tetap tdk boleh di lakukan,kekerasan tetap tdk boleh di lakukan,"['kekerasan', 'tetap', 'tdk', 'boleh', 'di', 'lakukan']","['kekerasan', 'tetap', 'tidak', 'boleh', 'di', 'lakukan']","['kekerasan', 'lakukan']","['keras', 'laku']",keras laku
Hebat sekali kau nak👏,Hebat sekali kau nak,hebat sekali kau nak,"['hebat', 'sekali', 'kau', 'nak']","['hebat', 'sekali', 'kau', 'nak']","['hebat', 'kau', 'nak']","['hebat', 'kau', 'nak']",hebat kau nak
"Tersangka anak di bawah umur, korban juga anak di bawah umur, semoga pasal tentang perlindungan anak Tidak berlaku kepada tersangka nya 👏👏 karena ujung"" nya damai secara kekeluargaan 😢😢",Tersangka anak di bawah umur korban juga anak di bawah umur semoga pasal tentang perlindungan anak Tidak berlaku kepada tersangka nya karena ujung nya damai secara kekeluargaan,tersangka anak di bawah umur korban juga anak di bawah umur semoga pasal tentang perlindungan anak tidak berlaku kepada tersangka nya karena ujung nya damai secara kekeluargaan,"['tersangka', 'anak', 'di', 'bawah', 'umur', 'korban', 'juga', 'anak', 'di', 'bawah', 'umur', 'semoga', 'pasal', 'tentang', 'perlindungan', 'anak', 'tidak', 'berlaku', 'kepada', 'tersangka', 'nya', 'karena', 'ujung', 'nya', 'damai', 'secara', 'kekeluargaan']","['tersangka', 'anak', 'di', 'bawah', 'umur', 'korban', 'juga', 'anak', 'di', 'bawah', 'umur', 'semoga', 'pasal', 'tentang', 'perlindungan', 'anak', 'tidak', 'berlaku', 'kepada', 'tersangka', 'nya', 'karena', 'ujung', 'nya', 'damai', 'secara', 'kekeluargaan']","['tersangka', 'anak', 'umur', 'korban', 'anak', 'umur', 'semoga', 'pasal', 'perlindungan', 'anak', 'berlaku', 'tersangka', 'nya', 'ujung', 'nya', 'damai', 'kekeluargaan']","['sangka', 'anak', 'umur', 'korban', 'anak', 'umur', 'moga', 'pasal', 'lindung', 'anak', 'laku', 'sangka', 'nya', 'ujung', 'nya', 'damai', 'keluarga']",sangka anak umur korban anak umur moga pasal lindung anak laku sangka nya ujung nya damai keluarga
"Berprestasi? Kok kmren ada yg bilang nakal suka pindah2 sekolah,,yg bener yg mana",Berprestasi Kok kmren ada yg bilang nakal suka pindah sekolah yg bener yg mana,berprestasi kok kmren ada yg bilang nakal suka pindah sekolah yg bener yg mana,"['berprestasi', 'kok', 'kmren', 'ada', 'yg', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'yg', 'bener', 'yg', 'mana']","['berprestasi', 'kok', 'kmren', 'ada', 'yang', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'yang', 'bener', 'yang', 'mana']","['berprestasi', 'kmren', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'bener']","['prestasi', 'kmren', 'bilang', 'nakal', 'suka', 'pindah', 'sekolah', 'bener']",prestasi kmren bilang nakal suka pindah sekolah bener
Keluar dari penjara/lolos dari masa tahanan. Malah jadi bangga . Dan menjadi jadi. Masih muda dan ditakuti🔥,Keluar dari penjara lolos dari masa tahanan Malah jadi bangga Dan menjadi jadi Masih muda dan ditakuti,keluar dari penjara lolos dari masa tahanan malah jadi bangga dan menjadi jadi masih muda dan ditakuti,"['keluar', 'dari', 'penjara', 'lolos', 'dari', 'masa', 'tahanan', 'malah', 'jadi', 'bangga', 'dan', 'menjadi', 'jadi', 'masih', 'muda', 'dan', 'ditakuti']","['keluar', 'dari', 'penjara', 'lolos', 'dari', 'masa', 'tahanan', 'malah', 'jadi', 'bangga', 'dan', 'menjadi', 'jadi', 'masih', 'muda', 'dan', 'ditakuti']","['penjara', 'lolos', 'tahanan', 'bangga', 'muda', 'ditakuti']","['penjara', 'lolos', 'tahan', 'bangga', 'muda', 'takut']",penjara lolos tahan bangga muda takut
"Maksud dari ""jika terbukti""????",Maksud dari jika terbukti,maksud dari jika terbukti,"['maksud', 'dari', 'jika', 'terbukti']","['maksud', 'dari', 'jika', 'terbukti']","['maksud', 'terbukti']","['maksud', 'bukti']",maksud bukti
Gak usah cari2 perkara terhadap korban...yg jelas apapun alasanya itu perundungam bullying,Gak usah cari perkara terhadap korban yg jelas apapun alasanya itu perundungam bullying,gak usah cari perkara terhadap korban yg jelas apapun alasanya itu perundungam bullying,"['gak', 'usah', 'cari', 'perkara', 'terhadap', 'korban', 'yg', 'jelas', 'apapun', 'alasanya', 'itu', 'perundungam', 'bullying']","['enggak', 'usah', 'cari', 'perkara', 'terhadap', 'korban', 'yang', 'jelas', 'apapun', 'alasanya', 'itu', 'perundungam', 'bullying']","['cari', 'perkara', 'korban', 'apapun', 'alasanya', 'perundungam', 'bullying']","['cari', 'perkara', 'korban', 'apa', 'alasanya', 'perundungam', 'bullying']",cari perkara korban apa alasanya perundungam bullying
Pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis. Hrs di shock therapi biar tdk sok jago akhirnya ada korban lg. Masukin sel dewasa aja biar diremuk di dlm sel,Pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis Hrs di shock therapi biar tdk sok jago akhirnya ada korban lg Masukin sel dewasa aja biar diremuk di dlm sel,pelaku itu jgn dikenain hukum anak sebab kelakuan udh spt iblis hrs di shock therapi biar tdk sok jago akhirnya ada korban lg masukin sel dewasa aja biar diremuk di dlm sel,"['pelaku', 'itu', 'jgn', 'dikenain', 'hukum', 'anak', 'sebab', 'kelakuan', 'udh', 'spt', 'iblis', 'hrs', 'di', 'shock', 'therapi', 'biar', 'tdk', 'sok', 'jago', 'akhirnya', 'ada', 'korban', 'lg', 'masukin', 'sel', 'dewasa', 'aja', 'biar', 'diremuk', 'di', 'dlm', 'sel']","['pelaku', 'itu', 'jangan', 'dikenain', 'hukum', 'anak', 'sebab', 'kelakuan', 'udah', 'seperti', 'iblis', 'harus', 'di', 'shock', 'therapi', 'biar', 'tidak', 'sok', 'jago', 'akhirnya', 'ada', 'korban', 'lagi', 'masukin', 'sel', 'dewasa', 'aja', 'biar', 'diremuk', 'di', 'dalam', 'sel']","['pelaku', 'dikenain', 'hukum', 'anak', 'kelakuan', 'udah', 'iblis', 'shock', 'therapi', 'biar', 'sok', 'jago', 'korban', 'masukin', 'sel', 'dewasa', 'aja', 'biar', 'diremuk', 'sel']","['laku', 'dikenain', 'hukum', 'anak', 'laku', 'udah', 'iblis', 'shock', 'therapi', 'biar', 'sok', 'jago', 'korban', 'masukin', 'sel', 'dewasa', 'aja', 'biar', 'remuk', 'sel']",laku dikenain hukum anak laku udah iblis shock therapi biar sok jago korban masukin sel dewasa aja biar remuk sel
"G usah mikir d bawah umur kalo perilakunya membahayakan orang lain hrs tetap d proses hukum ,, good lah polres cilacp",usah mikir bawah umur kalo perilakunya membahayakan orang lain hrs tetap proses hukum good lah polres cilacp,usah mikir bawah umur kalo perilakunya membahayakan orang lain hrs tetap proses hukum good lah polres cilacp,"['usah', 'mikir', 'bawah', 'umur', 'kalo', 'perilakunya', 'membahayakan', 'orang', 'lain', 'hrs', 'tetap', 'proses', 'hukum', 'good', 'lah', 'polres', 'cilacp']","['usah', 'mikir', 'bawah', 'umur', 'kalau', 'perilakunya', 'membahayakan', 'orang', 'lain', 'harus', 'tetap', 'proses', 'hukum', 'good', 'lah', 'polres', 'cilacp']","['mikir', 'umur', 'perilakunya', 'membahayakan', 'orang', 'proses', 'hukum', 'good', 'polres', 'cilacp']","['mikir', 'umur', 'perilaku', 'bahaya', 'orang', 'proses', 'hukum', 'good', 'polres', 'cilacp']",mikir umur perilaku bahaya orang proses hukum good polres cilacp
Sbntar amat 3thnan.,Sbntar amat thnan,sbntar amat thnan,"['sbntar', 'amat', 'thnan']","['sbntar', 'amat', 'thnan']","['sbntar', 'thnan']","['sbntar', 'thnan']",sbntar thnan
