Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Mentri pendidikan apa kabar ?,Mentri pendidikan apa kabar,mentri pendidikan apa kabar,"['mentri', 'pendidikan', 'apa', 'kabar']","['mentri', 'pendidikan', 'apa', 'kabar']","['mentri', 'pendidikan', 'kabar']","['tri', 'didik', 'kabar']",tri didik kabar
Masalah Besar yg terjadi dlm dunia pendidikan saat ini kekerasan fisik dn psikis..,Masalah Besar yg terjadi dlm dunia pendidikan saat ini kekerasan fisik dn psikis,masalah besar yg terjadi dlm dunia pendidikan saat ini kekerasan fisik dn psikis,"['masalah', 'besar', 'yg', 'terjadi', 'dlm', 'dunia', 'pendidikan', 'saat', 'ini', 'kekerasan', 'fisik', 'dn', 'psikis']","['masalah', 'besar', 'yang', 'terjadi', 'dalam', 'dunia', 'pendidikan', 'saat', 'ini', 'kekerasan', 'fisik', 'dn', 'psikis']","['dunia', 'pendidikan', 'kekerasan', 'fisik', 'dn', 'psikis']","['dunia', 'didik', 'keras', 'fisik', 'dn', 'psikis']",dunia didik keras fisik dn psikis
Sunan sekarang apa si?,Sunan sekarang apa si,sunan sekarang apa si,"['sunan', 'sekarang', 'apa', 'si']","['sunan', 'sekarang', 'apa', 'si']","['sunan', 'si']","['sunan', 'si']",sunan si
Sekarang banyak sekali bully anak sekolah 😢,Sekarang banyak sekali bully anak sekolah,sekarang banyak sekali bully anak sekolah,"['sekarang', 'banyak', 'sekali', 'bully', 'anak', 'sekolah']","['sekarang', 'banyak', 'sekali', 'bully', 'anak', 'sekolah']","['bully', 'anak', 'sekolah']","['bully', 'anak', 'sekolah']",bully anak sekolah
"Copot kepala sekolahnya, apalagi itu kan sekolahnya swasta, pihak yayasan yang berwenang kalau mau nama sekolahnya tetap baik. Pembully jangan dilindungi, kalau begitu terus seakan ada pembiaran dari pihak sekolah.",Copot kepala sekolahnya apalagi itu kan sekolahnya swasta pihak yayasan yang berwenang kalau mau nama sekolahnya tetap baik Pembully jangan dilindungi kalau begitu terus seakan ada pembiaran dari pihak sekolah,copot kepala sekolahnya apalagi itu kan sekolahnya swasta pihak yayasan yang berwenang kalau mau nama sekolahnya tetap baik pembully jangan dilindungi kalau begitu terus seakan ada pembiaran dari pihak sekolah,"['copot', 'kepala', 'sekolahnya', 'apalagi', 'itu', 'kan', 'sekolahnya', 'swasta', 'pihak', 'yayasan', 'yang', 'berwenang', 'kalau', 'mau', 'nama', 'sekolahnya', 'tetap', 'baik', 'pembully', 'jangan', 'dilindungi', 'kalau', 'begitu', 'terus', 'seakan', 'ada', 'pembiaran', 'dari', 'pihak', 'sekolah']","['copot', 'kepala', 'sekolahnya', 'apalagi', 'itu', 'kan', 'sekolahnya', 'swasta', 'pihak', 'yayasan', 'yang', 'berwenang', 'kalau', 'mau', 'nama', 'sekolahnya', 'tetap', 'baik', 'pembully', 'jangan', 'dilindungi', 'kalau', 'begitu', 'terus', 'seakan', 'ada', 'pembiaran', 'dari', 'pihak', 'sekolah']","['copot', 'kepala', 'sekolahnya', 'sekolahnya', 'swasta', 'yayasan', 'berwenang', 'nama', 'sekolahnya', 'pembully', 'dilindungi', 'seakan', 'pembiaran', 'sekolah']","['copot', 'kepala', 'sekolah', 'sekolah', 'swasta', 'yayasan', 'wenang', 'nama', 'sekolah', 'pembully', 'lindung', 'akan', 'biar', 'sekolah']",copot kepala sekolah sekolah swasta yayasan wenang nama sekolah pembully lindung akan biar sekolah
"Karna kasus sudah masuk ranah hukum, maka harusnya sekolah itu netral. Serahkan semua pada hakim 👏",Karna kasus sudah masuk ranah hukum maka harusnya sekolah itu netral Serahkan semua pada hakim,karna kasus sudah masuk ranah hukum maka harusnya sekolah itu netral serahkan semua pada hakim,"['karna', 'kasus', 'sudah', 'masuk', 'ranah', 'hukum', 'maka', 'harusnya', 'sekolah', 'itu', 'netral', 'serahkan', 'semua', 'pada', 'hakim']","['karna', 'kasus', 'sudah', 'masuk', 'ranah', 'hukum', 'maka', 'harusnya', 'sekolah', 'itu', 'netral', 'serahkan', 'semua', 'pada', 'hakim']","['karna', 'masuk', 'ranah', 'hukum', 'sekolah', 'netral', 'serahkan', 'hakim']","['karna', 'masuk', 'ranah', 'hukum', 'sekolah', 'netral', 'serah', 'hakim']",karna masuk ranah hukum sekolah netral serah hakim
Ini bpknya pengacara sewot apalg gw emak2 deket rmh lg,Ini bpknya pengacara sewot apalg gw emak deket rmh lg,ini bpknya pengacara sewot apalg gw emak deket rmh lg,"['ini', 'bpknya', 'pengacara', 'sewot', 'apalg', 'gw', 'emak', 'deket', 'rmh', 'lg']","['ini', 'bpknya', 'pengacara', 'sewot', 'apalg', 'aku', 'emak', 'deket', 'rmh', 'lagi']","['bpknya', 'pengacara', 'sewot', 'apalg', 'emak', 'deket', 'rmh']","['bpknya', 'acara', 'sewot', 'apalg', 'emak', 'deket', 'rmh']",bpknya acara sewot apalg emak deket rmh
Sikaaaatt pak... ga ada maaf buat anak yg suka membully.. gass biar ada efek super jera,Sikaatt pak ga ada maaf buat anak yg suka membully gass biar ada efek super jera,sikaatt pak ga ada maaf buat anak yg suka membully gass biar ada efek super jera,"['sikaatt', 'pak', 'ga', 'ada', 'maaf', 'buat', 'anak', 'yg', 'suka', 'membully', 'gass', 'biar', 'ada', 'efek', 'super', 'jera']","['sikaatt', 'pak', 'enggak', 'ada', 'maaf', 'buat', 'anak', 'yang', 'suka', 'membully', 'gass', 'biar', 'ada', 'efek', 'super', 'jera']","['sikaatt', 'maaf', 'anak', 'suka', 'membully', 'gass', 'biar', 'efek', 'super', 'jera']","['sikaatt', 'maaf', 'anak', 'suka', 'membully', 'gass', 'biar', 'efek', 'super', 'jera']",sikaatt maaf anak suka membully gass biar efek super jera
Sekolah malah tidak mendampingi korban malah tersangka... Menjaga citra sekolah pak?takut di copot?ato ada hubungan sodara dengan tersangka?,Sekolah malah tidak mendampingi korban malah tersangka Menjaga citra sekolah pak takut di copot ato ada hubungan sodara dengan tersangka,sekolah malah tidak mendampingi korban malah tersangka menjaga citra sekolah pak takut di copot ato ada hubungan sodara dengan tersangka,"['sekolah', 'malah', 'tidak', 'mendampingi', 'korban', 'malah', 'tersangka', 'menjaga', 'citra', 'sekolah', 'pak', 'takut', 'di', 'copot', 'ato', 'ada', 'hubungan', 'sodara', 'dengan', 'tersangka']","['sekolah', 'malah', 'tidak', 'mendampingi', 'korban', 'malah', 'tersangka', 'menjaga', 'citra', 'sekolah', 'pak', 'takut', 'di', 'copot', 'atau', 'ada', 'hubungan', 'sodara', 'dengan', 'tersangka']","['sekolah', 'mendampingi', 'korban', 'tersangka', 'menjaga', 'citra', 'sekolah', 'takut', 'copot', 'hubungan', 'sodara', 'tersangka']","['sekolah', 'damping', 'korban', 'sangka', 'jaga', 'citra', 'sekolah', 'takut', 'copot', 'hubung', 'sodara', 'sangka']",sekolah damping korban sangka jaga citra sekolah takut copot hubung sodara sangka
"😂 klo bisa ngamuk ngapain sabar ya , pak !!",klo bisa ngamuk ngapain sabar ya pak,klo bisa ngamuk ngapain sabar ya pak,"['klo', 'bisa', 'ngamuk', 'ngapain', 'sabar', 'ya', 'pak']","['kalau', 'bisa', 'ngamuk', 'ngapain', 'sabar', 'ya', 'pak']","['ngamuk', 'ngapain', 'sabar', 'ya']","['ngamuk', 'ngapain', 'sabar', 'ya']",ngamuk ngapain sabar ya
