Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Itu dh ketahuan berita hoax,Itu dh ketahuan berita hoax,itu dh ketahuan berita hoax,"['itu', 'dh', 'ketahuan', 'berita', 'hoax']","['itu', 'sudah', 'ketahuan', 'berita', 'hoax']","['ketahuan', 'berita', 'hoax']","['tahu', 'berita', 'hoax']",tahu berita hoax
hoax ini anjir,hoax ini anjir,hoax ini anjir,"['hoax', 'ini', 'anjir']","['hoax', 'ini', 'anjir']","['hoax', 'anjir']","['hoax', 'anjir']",hoax anjir
"Please stop bullying,",Please stop bullying,please stop bullying,"['please', 'stop', 'bullying']","['please', 'stop', 'bullying']","['please', 'stop', 'bullying']","['please', 'stop', 'bullying']",please stop bullying
Ya gitu lah kl orang iri sama orang lain selalu dicari2 kesalahannya. Sampe dibikin hoaxnya juga😂,Ya gitu lah kl orang iri sama orang lain selalu dicari kesalahannya Sampe dibikin hoaxnya juga,ya gitu lah kl orang iri sama orang lain selalu dicari kesalahannya sampe dibikin hoaxnya juga,"['ya', 'gitu', 'lah', 'kl', 'orang', 'iri', 'sama', 'orang', 'lain', 'selalu', 'dicari', 'kesalahannya', 'sampe', 'dibikin', 'hoaxnya', 'juga']","['ya', 'gitu', 'lah', 'kl', 'orang', 'iri', 'sama', 'orang', 'lain', 'selalu', 'dicari', 'kesalahannya', 'sampe', 'dibikin', 'hoaxnya', 'juga']","['ya', 'gitu', 'kl', 'orang', 'iri', 'orang', 'dicari', 'kesalahannya', 'sampe', 'dibikin', 'hoaxnya']","['ya', 'gitu', 'kl', 'orang', 'iri', 'orang', 'cari', 'salah', 'sampe', 'bikin', 'hoaxnya']",ya gitu kl orang iri orang cari salah sampe bikin hoaxnya
i feel u bro:(,feel bro,feel bro,"['feel', 'bro']","['feel', 'bro']","['feel', 'bro']","['feel', 'bro']",feel bro
Cukup bayangkan itu adalah anakmu/ keponakanmu/ saudaramu 😭,Cukup bayangkan itu adalah anakmu keponakanmu saudaramu,cukup bayangkan itu adalah anakmu keponakanmu saudaramu,"['cukup', 'bayangkan', 'itu', 'adalah', 'anakmu', 'keponakanmu', 'saudaramu']","['cukup', 'bayangkan', 'itu', 'adalah', 'anakmu', 'keponakanmu', 'saudaramu']","['bayangkan', 'anakmu', 'keponakanmu', 'saudaramu']","['bayang', 'anak', 'keponakan', 'saudara']",bayang anak keponakan saudara
Keep strong boy😘❤️,Keep strong boy,keep strong boy,"['keep', 'strong', 'boy']","['keep', 'strong', 'boy']","['keep', 'strong', 'boy']","['keep', 'strong', 'boy']",keep strong boy
Ini akting kawan kawan. Dia bukan kena bullying. Dia artis amerika,Ini akting kawan kawan Dia bukan kena bullying Dia artis amerika,ini akting kawan kawan dia bukan kena bullying dia artis amerika,"['ini', 'akting', 'kawan', 'kawan', 'dia', 'bukan', 'kena', 'bullying', 'dia', 'artis', 'amerika']","['ini', 'akting', 'kawan', 'kawan', 'dia', 'bukan', 'kena', 'bullying', 'dia', 'artis', 'amerika']","['akting', 'kawan', 'kawan', 'kena', 'bullying', 'artis', 'amerika']","['akting', 'kawan', 'kawan', 'kena', 'bullying', 'artis', 'amerika']",akting kawan kawan kena bullying artis amerika
buka ig ini dah https://www.instagram.com/p/B83lm_2Fi-O/?igshid=cuiku922brcg ternyata itu bohong,buka ig ini dah ternyata itu bohong,buka ig ini dah ternyata itu bohong,"['buka', 'ig', 'ini', 'dah', 'ternyata', 'itu', 'bohong']","['buka', 'instagram', 'ini', 'udah', 'ternyata', 'itu', 'bohong']","['buka', 'instagram', 'udah', 'bohong']","['buka', 'instagram', 'udah', 'bohong']",buka instagram udah bohong
Itu bukannya yang di film film itu ya,Itu bukannya yang di film film itu ya,itu bukannya yang di film film itu ya,"['itu', 'bukannya', 'yang', 'di', 'film', 'film', 'itu', 'ya']","['itu', 'bukannya', 'yang', 'di', 'film', 'film', 'itu', 'ya']","['film', 'film', 'ya']","['film', 'film', 'ya']",film film ya
it’s fake stop sharing,it fake stop sharing,it fake stop sharing,"['it', 'fake', 'stop', 'sharing']","['it', 'fake', 'stop', 'sharing']","['it', 'fake', 'stop', 'sharing']","['it', 'fake', 'stop', 'sharing']",it fake stop sharing
Btw ini HOAX ya Netizen ..,Btw ini HOAX ya Netizen,btw ini hoax ya netizen,"['btw', 'ini', 'hoax', 'ya', 'netizen']","['btw', 'ini', 'hoax', 'ya', 'netizen']","['btw', 'hoax', 'ya', 'netizen']","['btw', 'hoax', 'ya', 'netizen']",btw hoax ya netizen
