Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
"Besok besok NASDEM & PKB Gabung Pemerintah,anies ditinggal deh 😂",Besok besok NASDEM PKB Gabung Pemerintah anies ditinggal deh,besok besok nasdem pkb gabung pemerintah anies ditinggal deh,"['besok', 'besok', 'nasdem', 'pkb', 'gabung', 'pemerintah', 'anies', 'ditinggal', 'deh']","['besok', 'besok', 'nasdem', 'pkb', 'gabung', 'pemerintah', 'anies', 'ditinggal', 'deh']","['besok', 'besok', 'nasdem', 'pkb', 'gabung', 'pemerintah', 'anies', 'ditinggal', 'deh']","['besok', 'besok', 'nasdem', 'pkb', 'gabung', 'perintah', 'anies', 'tinggal', 'deh']",besok besok nasdem pkb gabung perintah anies tinggal deh
Oh gitu konsisten yaa. Ntar kalo tiba² masuk kabinet atau nyalonin jadi gubernur gimana???,Oh gitu konsisten yaa Ntar kalo tiba masuk kabinet atau nyalonin jadi gubernur gimana,oh gitu konsisten yaa ntar kalo tiba masuk kabinet atau nyalonin jadi gubernur gimana,"['oh', 'gitu', 'konsisten', 'yaa', 'ntar', 'kalo', 'tiba', 'masuk', 'kabinet', 'atau', 'nyalonin', 'jadi', 'gubernur', 'gimana']","['oh', 'gitu', 'konsisten', 'yaa', 'nanti', 'kalau', 'tiba', 'masuk', 'kabinet', 'atau', 'nyalonin', 'jadi', 'gubernur', 'gimana']","['oh', 'gitu', 'konsisten', 'yaa', 'masuk', 'kabinet', 'nyalonin', 'gubernur', 'gimana']","['oh', 'gitu', 'konsisten', 'yaa', 'masuk', 'kabinet', 'nyalonin', 'gubernur', 'gimana']",oh gitu konsisten yaa masuk kabinet nyalonin gubernur gimana
"Pak anies, daripada sibuk menjadi perubahan, mungkin lebih baik mengabdikan diri untuk bangsa & negara demi perubahan yg lebih baik, dengan cara Bergabunglah Dengan Kabinet Indonesia Maju😂",Pak anies daripada sibuk menjadi perubahan mungkin lebih baik mengabdikan diri untuk bangsa negara demi perubahan yg lebih baik dengan cara Bergabunglah Dengan Kabinet Indonesia Maju,pak anies daripada sibuk menjadi perubahan mungkin lebih baik mengabdikan diri untuk bangsa negara demi perubahan yg lebih baik dengan cara bergabunglah dengan kabinet indonesia maju,"['pak', 'anies', 'daripada', 'sibuk', 'menjadi', 'perubahan', 'mungkin', 'lebih', 'baik', 'mengabdikan', 'diri', 'untuk', 'bangsa', 'negara', 'demi', 'perubahan', 'yg', 'lebih', 'baik', 'dengan', 'cara', 'bergabunglah', 'dengan', 'kabinet', 'indonesia', 'maju']","['pak', 'anies', 'daripada', 'sibuk', 'menjadi', 'perubahan', 'mungkin', 'lebih', 'baik', 'mengabdikan', 'diri', 'untuk', 'bangsa', 'negara', 'demi', 'perubahan', 'yang', 'lebih', 'baik', 'dengan', 'cara', 'bergabunglah', 'dengan', 'kabinet', 'indonesia', 'maju']","['anies', 'sibuk', 'perubahan', 'mengabdikan', 'bangsa', 'negara', 'perubahan', 'bergabunglah', 'kabinet', 'indonesia', 'maju']","['anies', 'sibuk', 'ubah', 'abdi', 'bangsa', 'negara', 'ubah', 'gabung', 'kabinet', 'indonesia', 'maju']",anies sibuk ubah abdi bangsa negara ubah gabung kabinet indonesia maju
"Siape elu nggak ngaruh  berubah sendiri sono jadi  apa kelk,,, sorryy yeee😂",Siape elu nggak ngaruh berubah sendiri sono jadi apa kelk sorryy yee,siape elu nggak ngaruh berubah sendiri sono jadi apa kelk sorryy yee,"['siape', 'elu', 'nggak', 'ngaruh', 'berubah', 'sendiri', 'sono', 'jadi', 'apa', 'kelk', 'sorryy', 'yee']","['siape', 'elu', 'nggak', 'ngaruh', 'berubah', 'sendiri', 'sono', 'jadi', 'apa', 'kelk', 'sorryy', 'yee']","['siape', 'elu', 'nggak', 'ngaruh', 'berubah', 'sono', 'kelk', 'sorryy', 'yee']","['siape', 'elu', 'nggak', 'ngaruh', 'ubah', 'sono', 'kelk', 'sorryy', 'yee']",siape elu nggak ngaruh ubah sono kelk sorryy yee
Masya Allah pak❤️,Masya Allah pak,masya allah pak,"['masya', 'allah', 'pak']","['masya', 'allah', 'pak']","['masya', 'allah']","['masya', 'allah']",masya allah
Omon omon selamanya 😂😂😂😂,Omon omon selamanya,omon omon selamanya,"['omon', 'omon', 'selamanya']","['omon', 'omon', 'selamanya']","['omon', 'omon']","['omon', 'omon']",omon omon
jangan janji kaya PS 2019 ya pak,jangan janji kaya PS ya pak,jangan janji kaya ps ya pak,"['jangan', 'janji', 'kaya', 'ps', 'ya', 'pak']","['jangan', 'janji', 'kaya', 'ps', 'ya', 'pak']","['janji', 'kaya', 'ps', 'ya']","['janji', 'kaya', 'ps', 'ya']",janji kaya ps ya
semangaaat pak! Oposisi butuh jiwa sprt bapak!,semangaat pak Oposisi butuh jiwa sprt bapak,semangaat pak oposisi butuh jiwa sprt bapak,"['semangaat', 'pak', 'oposisi', 'butuh', 'jiwa', 'sprt', 'bapak']","['semangaat', 'pak', 'oposisi', 'butuh', 'jiwa', 'sprt', 'bapak']","['semangaat', 'oposisi', 'butuh', 'jiwa', 'sprt']","['semangaat', 'oposisi', 'butuh', 'jiwa', 'sprt']",semangaat oposisi butuh jiwa sprt
"Yaaa KITA HORMATI KEPUTUSAN BELIAU ,,SELALU BERJUANG UNTUK Menjadi PRESIDEN ROHINGNYA selanjutnya 😂😂😂🤭",Yaa KITA HORMATI KEPUTUSAN BELIAU SELALU BERJUANG UNTUK Menjadi PRESIDEN ROHINGNYA selanjutnya,yaa kita hormati keputusan beliau selalu berjuang untuk menjadi presiden rohingnya selanjutnya,"['yaa', 'kita', 'hormati', 'keputusan', 'beliau', 'selalu', 'berjuang', 'untuk', 'menjadi', 'presiden', 'rohingnya', 'selanjutnya']","['yaa', 'kita', 'hormati', 'keputusan', 'beliau', 'selalu', 'berjuang', 'untuk', 'menjadi', 'presiden', 'rohingnya', 'selanjutnya']","['yaa', 'hormati', 'keputusan', 'beliau', 'berjuang', 'presiden', 'rohingnya']","['yaa', 'hormat', 'putus', 'beliau', 'juang', 'presiden', 'rohingnya']",yaa hormat putus beliau juang presiden rohingnya
Kayak gatau omongannya dia aja,Kayak gatau omongannya dia aja,kayak gatau omongannya dia aja,"['kayak', 'gatau', 'omongannya', 'dia', 'aja']","['kayak', 'gatau', 'omongannya', 'dia', 'aja']","['kayak', 'gatau', 'omongannya', 'aja']","['kayak', 'gatau', 'omong', 'aja']",kayak gatau omong aja
