Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Sekolah elite kok ya anak didik nya kaya begini?😢,Sekolah elite kok ya anak didik nya kaya begini,sekolah elite kok ya anak didik nya kaya begini,"['sekolah', 'elite', 'kok', 'ya', 'anak', 'didik', 'nya', 'kaya', 'begini']","['sekolah', 'elite', 'kok', 'ya', 'anak', 'didik', 'nya', 'kaya', 'begini']","['sekolah', 'elite', 'ya', 'anak', 'didik', 'nya', 'kaya']","['sekolah', 'elite', 'ya', 'anak', 'didik', 'nya', 'kaya']",sekolah elite ya anak didik nya kaya
Lanjutkan proses hukuman,Lanjutkan proses hukuman,lanjutkan proses hukuman,"['lanjutkan', 'proses', 'hukuman']","['lanjutkan', 'proses', 'hukuman']","['lanjutkan', 'proses', 'hukuman']","['lanjut', 'proses', 'hukum']",lanjut proses hukum
Spoil harta bapaknya dong,Spoil harta bapaknya dong,spoil harta bapaknya dong,"['spoil', 'harta', 'bapaknya', 'dong']","['spoil', 'harta', 'bapaknya', 'dong']","['spoil', 'harta', 'bapaknya']","['spoil', 'harta', 'bapak']",spoil harta bapak
Pihak sekolah harus bertanggung jawab 😂😂,Pihak sekolah harus bertanggung jawab,pihak sekolah harus bertanggung jawab,"['pihak', 'sekolah', 'harus', 'bertanggung', 'jawab']","['pihak', 'sekolah', 'harus', 'bertanggung', 'jawab']","['sekolah', 'bertanggung']","['sekolah', 'tanggung']",sekolah tanggung
"Pihak sekolah jg hrs bertanggung jawab, karna sdh blangsung lama",Pihak sekolah jg hrs bertanggung jawab karna sdh blangsung lama,pihak sekolah jg hrs bertanggung jawab karna sdh blangsung lama,"['pihak', 'sekolah', 'jg', 'hrs', 'bertanggung', 'jawab', 'karna', 'sdh', 'blangsung', 'lama']","['pihak', 'sekolah', 'juga', 'harus', 'bertanggung', 'jawab', 'karna', 'sudah', 'blangsung', 'lama']","['sekolah', 'bertanggung', 'karna', 'blangsung']","['sekolah', 'tanggung', 'karna', 'blangsung']",sekolah tanggung karna blangsung
"Padahal di sekolahkan di sekolah mahal dan bagus, tp kelakuan masih blm menunjukkan adab dan prilaku yang berpendidikan. Miris banget😢",Padahal di sekolahkan di sekolah mahal dan bagus tp kelakuan masih blm menunjukkan adab dan prilaku yang berpendidikan Miris banget,padahal di sekolahkan di sekolah mahal dan bagus tp kelakuan masih blm menunjukkan adab dan prilaku yang berpendidikan miris banget,"['padahal', 'di', 'sekolahkan', 'di', 'sekolah', 'mahal', 'dan', 'bagus', 'tp', 'kelakuan', 'masih', 'blm', 'menunjukkan', 'adab', 'dan', 'prilaku', 'yang', 'berpendidikan', 'miris', 'banget']","['padahal', 'di', 'sekolahkan', 'di', 'sekolah', 'mahal', 'dan', 'bagus', 'tapi', 'kelakuan', 'masih', 'belum', 'menunjukkan', 'adab', 'dan', 'prilaku', 'yang', 'berpendidikan', 'miris', 'banget']","['sekolahkan', 'sekolah', 'mahal', 'bagus', 'kelakuan', 'adab', 'prilaku', 'berpendidikan', 'miris', 'banget']","['sekolah', 'sekolah', 'mahal', 'bagus', 'laku', 'adab', 'prilaku', 'didik', 'miris', 'banget']",sekolah sekolah mahal bagus laku adab prilaku didik miris banget
"Sekolah elit, kelakuan minus",Sekolah elit kelakuan minus,sekolah elit kelakuan minus,"['sekolah', 'elit', 'kelakuan', 'minus']","['sekolah', 'elit', 'kelakuan', 'minus']","['sekolah', 'elit', 'kelakuan', 'minus']","['sekolah', 'elit', 'laku', 'minus']",sekolah elit laku minus
"Usut terus pak, apalagi skolah mahal,ortu pd tajir disana",Usut terus pak apalagi skolah mahal ortu pd tajir disana,usut terus pak apalagi skolah mahal ortu pd tajir disana,"['usut', 'terus', 'pak', 'apalagi', 'skolah', 'mahal', 'ortu', 'pd', 'tajir', 'disana']","['usut', 'terus', 'pak', 'apalagi', 'skolah', 'mahal', 'orang tua', 'percaya diri', 'tajir', 'disana']","['usut', 'skolah', 'mahal', 'orang tua', 'percaya diri', 'tajir', 'disana']","['usut', 'skolah', 'mahal', 'orang tua', 'percaya diri', 'tajir', 'sana']",usut skolah mahal orang tua percaya diri tajir sana
"Semoga semua pelaku di kenakan pidana dan jg di DO dr sekolah itu,tak peduli mrk dari keluarga siapa,hukum harus di tegakan 👍",Semoga semua pelaku di kenakan pidana dan jg di DO dr sekolah itu tak peduli mrk dari keluarga siapa hukum harus di tegakan,semoga semua pelaku di kenakan pidana dan jg di do dr sekolah itu tak peduli mrk dari keluarga siapa hukum harus di tegakan,"['semoga', 'semua', 'pelaku', 'di', 'kenakan', 'pidana', 'dan', 'jg', 'di', 'do', 'dr', 'sekolah', 'itu', 'tak', 'peduli', 'mrk', 'dari', 'keluarga', 'siapa', 'hukum', 'harus', 'di', 'tegakan']","['semoga', 'semua', 'pelaku', 'di', 'kenakan', 'pidana', 'dan', 'juga', 'di', 'do', 'dari', 'sekolah', 'itu', 'tak', 'peduli', 'mrk', 'dari', 'keluarga', 'siapa', 'hukum', 'harus', 'di', 'tegakan']","['semoga', 'pelaku', 'kenakan', 'pidana', 'do', 'sekolah', 'peduli', 'mrk', 'keluarga', 'hukum', 'tegakan']","['moga', 'laku', 'kena', 'pidana', 'do', 'sekolah', 'peduli', 'mrk', 'keluarga', 'hukum', 'tega']",moga laku kena pidana do sekolah peduli mrk keluarga hukum tega
"Innalillahi wa innailaihi rojiun astaghfirullah, ayo dong Kemendiknas pihak² serius membenahi akar masalahnya, sedih sebagai orang tua ( khawatir ga sadar bahwa bisa jadi kita bersikap/melakukan hal tsb.) 😟🙏",Innalillahi wa innailaihi rojiun astaghfirullah ayo dong Kemendiknas pihak serius membenahi akar masalahnya sedih sebagai orang tua khawatir ga sadar bahwa bisa jadi kita bersikap melakukan hal tsb,innalillahi wa innailaihi rojiun astaghfirullah ayo dong kemendiknas pihak serius membenahi akar masalahnya sedih sebagai orang tua khawatir ga sadar bahwa bisa jadi kita bersikap melakukan hal tsb,"['innalillahi', 'wa', 'innailaihi', 'rojiun', 'astaghfirullah', 'ayo', 'dong', 'kemendiknas', 'pihak', 'serius', 'membenahi', 'akar', 'masalahnya', 'sedih', 'sebagai', 'orang', 'tua', 'khawatir', 'ga', 'sadar', 'bahwa', 'bisa', 'jadi', 'kita', 'bersikap', 'melakukan', 'hal', 'tsb']","['innalillahi', 'wa', 'innailaihi', 'rojiun', 'astaghfirullah', 'ayo', 'dong', 'kemendiknas', 'pihak', 'serius', 'membenahi', 'akar', 'masalahnya', 'sedih', 'sebagai', 'orang', 'tua', 'khawatir', 'enggak', 'sadar', 'bahwa', 'bisa', 'jadi', 'kita', 'bersikap', 'melakukan', 'hal', 'tsb']","['innalillahi', 'wa', 'innailaihi', 'rojiun', 'astaghfirullah', 'ayo', 'kemendiknas', 'serius', 'membenahi', 'akar', 'sedih', 'orang', 'tua', 'khawatir', 'sadar', 'bersikap', 'tsb']","['innalillahi', 'wa', 'innailaihi', 'rojiun', 'astaghfirullah', 'ayo', 'kemendiknas', 'serius', 'benah', 'akar', 'sedih', 'orang', 'tua', 'khawatir', 'sadar', 'sikap', 'tsb']",innalillahi wa innailaihi rojiun astaghfirullah ayo kemendiknas serius benah akar sedih orang tua khawatir sadar sikap tsb
